gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note,country_code,country,gleam_region,hg/ha,processed_item_code,processed_item,fbs_item_code,fbs_item,product_fraction,value_fraction,kg/ha,kg_co2/ha,kg_co2/kg,footprint_type,footprint
Soy,236,Soybeans,Ethiopia,4.83,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,238,Ethiopia,Sub-Saharan Africa,19492.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,1949.2333333333331,4830.0,2.477897292952785,kg_co2_luc_human_palm_soy,2.477897292952785
Soy,236,Soybeans,Ethiopia,4.83,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,238,Ethiopia,Sub-Saharan Africa,19492.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1949.2333333333331,4830.0,4.680472664466373,kg_co2_luc_human_palm_soy,4.680472664466373
Soy,236,Soybeans,Gabon,1.98,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,74,Gabon,Sub-Saharan Africa,8736.666666666666,236,Soybeans,2555,Soyabeans,1.0,1.0,873.6666666666666,1980.0,2.266310568485311,kg_co2_luc_human_palm_soy,2.266310568485311
Soy,236,Soybeans,Gabon,1.98,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,74,Gabon,Sub-Saharan Africa,8736.666666666666,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,873.6666666666666,1980.0,4.280808851583366,kg_co2_luc_human_palm_soy,4.280808851583366
Soy,236,Soybeans,India,1.36,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,100,India,South Asia,11908.666666666666,236,Soybeans,2555,Soyabeans,1.0,1.0,1190.8666666666666,1360.0,1.1420254156636624,kg_co2_luc_human_palm_soy,1.1420254156636624
Soy,236,Soybeans,India,1.36,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,100,India,South Asia,11908.666666666666,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1190.8666666666666,1360.0,2.157159118475807,kg_co2_luc_human_palm_soy,2.157159118475807
Soy,236,Soybeans,Iran,0.08,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching",102,Iran (Islamic Republic of),South Asia,24091.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,2409.133333333333,80.0,0.03320696239311509,kg_co2_luc_human_palm_soy,0.03320696239311509
Soy,236,Soybeans,Iran,0.08,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching",102,Iran (Islamic Republic of),South Asia,24091.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,2409.133333333333,80.0,0.06272426229810628,kg_co2_luc_human_palm_soy,0.06272426229810628
Soy,236,Soybeans,Kazakhstan,2.4,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,108,Kazakhstan,Near East and North Africa,19617.666666666668,236,Soybeans,2555,Soyabeans,1.0,1.0,1961.7666666666669,2400.0,1.223387083071381,kg_co2_luc_human_palm_soy,1.223387083071381
Soy,236,Soybeans,Kazakhstan,2.4,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,108,Kazakhstan,Near East and North Africa,19617.666666666668,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1961.7666666666669,2400.0,2.31084226802372,kg_co2_luc_human_palm_soy,2.31084226802372
Soy,236,Soybeans,Lao People's Democratic Republic,7.04,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,120,Lao People's Democratic Republic,East Asia and Southeast Asia,15702.333333333334,236,Soybeans,2555,Soyabeans,1.0,1.0,1570.2333333333333,7040.0,4.483410108901013,kg_co2_luc_human_palm_soy,4.483410108901013
Soy,236,Soybeans,Lao People's Democratic Republic,7.04,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,120,Lao People's Democratic Republic,East Asia and Southeast Asia,15702.333333333334,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1570.2333333333333,7040.0,8.468663539035248,kg_co2_luc_human_palm_soy,8.468663539035248
Soy,236,Soybeans,Liberia,15.61,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,123,Liberia,Sub-Saharan Africa,4246.666666666667,236,Soybeans,2555,Soyabeans,1.0,1.0,424.6666666666667,15610.0,36.75824175824176,kg_co2_luc_human_palm_soy,36.75824175824176
Soy,236,Soybeans,Liberia,15.61,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,123,Liberia,Sub-Saharan Africa,4246.666666666667,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,424.6666666666667,15610.0,69.43223443223444,kg_co2_luc_human_palm_soy,69.43223443223444
Soy,236,Soybeans,Madagascar,8.24,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,129,Madagascar,Sub-Saharan Africa,5943.666666666667,236,Soybeans,2555,Soyabeans,1.0,1.0,594.3666666666667,8240.0,13.863496158375861,kg_co2_luc_human_palm_soy,13.863496158375861
Soy,236,Soybeans,Madagascar,8.24,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,129,Madagascar,Sub-Saharan Africa,5943.666666666667,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,594.3666666666667,8240.0,26.186603854709965,kg_co2_luc_human_palm_soy,26.186603854709965
