country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,footprint,source
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019326041519194454,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_streptomycin,0.0022172991894051143,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_tetracycline,2.3737707513291318e-05,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2733,Pigmeat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2733,Pigmeat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2734,Poultry Meat,mg_abx_oxytetracycline,1.749170683580745e-06,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2734,Poultry Meat,mg_abx_streptomycin,0.016364554325609126,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
