country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw
MYT,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
MEX,,mg_abx_tetracyclines,25.51471287,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,51.02942574
FSM,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
MCO,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
MNG,,mg_abx_tetracyclines,71.68494858,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,143.36989716
MNE,,mg_abx_tetracyclines,21.22939554,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,42.45879108
MSR,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
MAR,,mg_abx_tetracyclines,6.703840451,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,13.407680902
MOZ,,mg_abx_tetracyclines,13.81044899,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.62089798
MMR,,mg_abx_tetracyclines,73.60835035,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,147.2167007
NAM,,mg_abx_tetracyclines,14.15859821,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.31719642
NRU,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
NPL,,mg_abx_tetracyclines,73.09222586,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,146.18445172
NLD,,mg_abx_tetracyclines,13.55050575,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.1010115
ANT,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
NCL,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
NZL,,mg_abx_tetracyclines,1.309391207,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,2.618782414
NIC,,mg_abx_tetracyclines,20.66155581,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,41.32311162
NER,,mg_abx_tetracyclines,14.57846419,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.15692838
NGA,,mg_abx_tetracyclines,15.35225856,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,30.70451712
NIU,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
MNP,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
NOR,,mg_abx_tetracyclines,0.086749901,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,0.173499802
PSE,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
OMN,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
PAK,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
PLW,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
PAN,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
PNG,,mg_abx_tetracyclines,64.21908617,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,128.43817234
PRY,,mg_abx_tetracyclines,24.38702569,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,48.77405138
PER,,mg_abx_tetracyclines,21.42844171,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,42.85688342
PHL,,mg_abx_tetracyclines,74.16623479,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,148.33246958
POL,,mg_abx_tetracyclines,16.2009415,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,32.401883
PRT,,mg_abx_tetracyclines,27.39107128,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,54.78214256
PRI,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
QAT,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
REU,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
KOR,,mg_abx_tetracyclines,11.72366541,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,23.44733082
MDA,,mg_abx_tetracyclines,0.0,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,0.0
ROU,,mg_abx_tetracyclines,16.08751098,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,32.17502196
RUS,,mg_abx_tetracyclines,26.29938732,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,52.59877464
RWA,,mg_abx_tetracyclines,13.71203592,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.42407184
SHN,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
KNA,,mg_abx_tetracyclines,15.49722231,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,30.99444462
LCA,,mg_abx_tetracyclines,19.22353027,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,38.44706054
SPM,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
VCT,,mg_abx_tetracyclines,18.32462618,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.64925236
WSM,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
SMR,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
STP,,mg_abx_tetracyclines,11.35859179,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,22.71718358
SAU,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
SEN,,mg_abx_tetracyclines,13.24813966,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,26.49627932
SRB,,mg_abx_tetracyclines,11.59672473,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,23.19344946
SYC,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
SLE,,mg_abx_tetracyclines,12.17344099,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,24.34688198
SGP,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
SVK,,mg_abx_tetracyclines,5.694724838,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,11.389449676
SVN,,mg_abx_tetracyclines,2.934792838,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,5.869585676
SLB,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
SOM,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
ZAF,,mg_abx_tetracyclines,14.5687237,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.1374474
ESP,,mg_abx_tetracyclines,12.3958987,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,24.7917974
LKA,,mg_abx_tetracyclines,53.984804,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,107.969608
SDN,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
SUR,,mg_abx_tetracyclines,18.39485942,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.78971884
SWZ,,mg_abx_tetracyclines,12.37637759,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,24.75275518
SWE,,mg_abx_tetracyclines,0.337377094,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,0.674754188
