country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,meat_feed,footprint
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_amphenicols,meat,11.612487316981131
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_cephalosporins_1_2,meat,0.6266513188679245
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_lincosamides,meat,30.188752905660376
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_macrolides,meat,19.0101448490566
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_other_antibiotics,meat,2.5277067245283016
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,feed,3.7504382783978686e-06
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_penicillins,meat,91.23411507547169
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_pleuromutilins,meat,42.96856337735849
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_polymixins,meat,36.831104679245286
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_quinolones,meat,12.100054928301887
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_streptomycin,feed,0.0016162870741612
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_sulfonamides,meat,24.445115547169813
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracyclines,meat,46.79250471698113
3,Albania,Western Europe,2733,Pigmeat,mg_abx_aminoglycosides,meat,20.363557586666666
3,Albania,Western Europe,2733,Pigmeat,mg_abx_amphenicols,meat,1.0753249253333335
3,Albania,Western Europe,2733,Pigmeat,mg_abx_cephalosporins_1_2,meat,0.014205756
3,Albania,Western Europe,2733,Pigmeat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_lincosamides,meat,20.446950946666664
3,Albania,Western Europe,2733,Pigmeat,mg_abx_macrolides,meat,16.117648826666667
3,Albania,Western Europe,2733,Pigmeat,mg_abx_other_antibiotics,meat,1.9281848333333331
3,Albania,Western Europe,2733,Pigmeat,mg_abx_oxytetracycline,feed,2.0074877689727563e-06
3,Albania,Western Europe,2733,Pigmeat,mg_abx_penicillins,meat,47.546925093333336
3,Albania,Western Europe,2733,Pigmeat,mg_abx_pleuromutilins,meat,6.206722644
3,Albania,Western Europe,2733,Pigmeat,mg_abx_polymixins,meat,13.640753853333335
3,Albania,Western Europe,2733,Pigmeat,mg_abx_quinolones,meat,2.177309124
3,Albania,Western Europe,2733,Pigmeat,mg_abx_streptomycin,feed,0.0008651459620643
3,Albania,Western Europe,2733,Pigmeat,mg_abx_sulfonamides,meat,14.855716733333333
3,Albania,Western Europe,2733,Pigmeat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_tetracyclines,meat,55.63335006666667
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_aminoglycosides,meat,1.9984703277777778
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_amphenicols,meat,0.028344319444444446
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_cephalosporins_1_2,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_lincosamides,meat,2.734983475
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_macrolides,meat,8.025518280555556
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_other_antibiotics,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_oxytetracycline,feed,2.470008034104256e-05
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_penicillins,meat,14.806690083333335
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_pleuromutilins,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_polymixins,meat,1.5198728791666665
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_quinolones,meat,1.857221165277778
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_streptomycin,feed,0.0106447347276507
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_sulfonamides,meat,7.3440326180555555
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_tetracyclines,meat,14.18737476388889
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_aminoglycosides,meat,1.737982114
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_amphenicols,meat,1.191145884
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_1_2,meat,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_3_4,meat,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_kasugamycin,feed,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_lincosamides,meat,0.0239394
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_macrolides,meat,2.60906891
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_other_antibiotics,meat,2.206806562
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_oxytetracycline,feed,0.0019326041519194
