fbs_item_code,fbs_item,footprint_type,country_code,country,gleam_region,country_footprint,region_footprint,world_footprint,footprint,geographic_resolution,approved,fcr
2731,Bovine Meat,mg_abx_oxytetracycline,101,Indonesia,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,102,Iran (Islamic Republic of),South Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,103,Iraq,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,104,Ireland,Western Europe,,,0.0019323671497584538,0.0,world,no,999
2731,Bovine Meat,mg_abx_oxytetracycline,105,Israel,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,106,Italy,Western Europe,,,0.0019323671497584538,0.0,world,no,999
2731,Bovine Meat,mg_abx_oxytetracycline,107,Côte d'Ivoire,Sub-Saharan Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,108,Kazakhstan,Near East and North Africa,,,0.0019323671497584538,0.0,world,no,999
2731,Bovine Meat,mg_abx_oxytetracycline,109,Jamaica,Latin America and the Caribbean,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,110,Japan,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,112,Jordan,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,113,Kyrgyzstan,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,114,Kenya,Sub-Saharan Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,115,Cambodia,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,116,Democratic People's Republic of Korea,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,117,Republic of Korea,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,118,Kuwait,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,119,Latvia,Western Europe,,,0.0019323671497584538,0.0,world,no,999
2731,Bovine Meat,mg_abx_oxytetracycline,120,Lao People's Democratic Republic,East Asia and Southeast Asia,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,121,Lebanon,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,122,Lesotho,Sub-Saharan Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,123,Liberia,Sub-Saharan Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
2731,Bovine Meat,mg_abx_oxytetracycline,124,Libya,Near East and North Africa,,,0.0019323671497584538,0.0019323671497584538,world,n.d.,999
