item_index,item,footprint,footprint_type
Egypt,Mutton & Goat Meat,97.87473400377357,abx
Egypt,Pigmeat,59.63688286204554,abx
Egypt,Poultry Meat,10.621137773254004,abx
El Salvador,Bovine Meat,103.26046020068195,abx
El Salvador,Mutton & Goat Meat,777.3906488,abx
El Salvador,Pigmeat,236.74523986260897,abx
El Salvador,Poultry Meat,46.776292746124255,abx
Equatorial Guinea,Bovine Meat,39.22022145314976,abx
Equatorial Guinea,Mutton & Goat Meat,97.87473400377357,abx
Equatorial Guinea,Pigmeat,65.30472492312491,abx
Equatorial Guinea,Poultry Meat,15.098096540669223,abx
Eritrea,Bovine Meat,41.85109021114976,abx
Eritrea,Mutton & Goat Meat,97.87473400377357,abx
Estonia,Bovine Meat,32.087723756,abx
Estonia,Mutton & Goat Meat,203.48058688113207,abx
Estonia,Pigmeat,53.85858790548,abx
Estonia,Poultry Meat,13.208384434589213,abx
Eswatini,Bovine Meat,40.456801137451706,abx
Eswatini,Mutton & Goat Meat,97.87473400377357,abx
Eswatini,Pigmeat,27.436547873126486,abx
Eswatini,Poultry Meat,14.721902230615427,abx
Ethiopia,Bovine Meat,39.46848095916239,abx
Ethiopia,Mutton & Goat Meat,97.87473400377357,abx
Ethiopia,Pigmeat,23.47490543649856,abx
Ethiopia,Poultry Meat,3.642582634140732,abx
Falkland Islands (Malvinas),Bovine Meat,102.51942941914976,abx
Falkland Islands (Malvinas),Mutton & Goat Meat,777.3906488,abx
Faroe Islands,Bovine Meat,135.22841920114973,abx
Faroe Islands,Mutton & Goat Meat,343.8313571943396,abx
Fiji,Bovine Meat,211.1855476724292,abx
Fiji,Mutton & Goat Meat,681.5694554056603,abx
Fiji,Pigmeat,380.5309041732117,abx
Fiji,Poultry Meat,81.11495326745359,abx
Finland,Bovine Meat,13.546838357999999,abx
Finland,Mutton & Goat Meat,26.392332307547164,abx
Finland,Pigmeat,16.596353808,abx
Finland,Poultry Meat,5.395320645472223,abx
France,Bovine Meat,26.356172216,abx
France,Mutton & Goat Meat,171.9399018207547,abx
France,Pigmeat,46.89890595287199,abx
France,Poultry Meat,36.54591906981945,abx
French Guiana,Bovine Meat,102.51942941914976,abx
French Guiana,Mutton & Goat Meat,777.3906488,abx
French Polynesia,Bovine Meat,222.11759606314973,abx
French Polynesia,Mutton & Goat Meat,681.5694554056603,abx
Gabon,Bovine Meat,40.82787654714976,abx
Gabon,Mutton & Goat Meat,97.87473400377357,abx
Gabon,Pigmeat,64.62978295135807,abx
Gabon,Poultry Meat,7.1015252497740065,abx
Gambia,Bovine Meat,40.98401650914976,abx
Gambia,Mutton & Goat Meat,97.87473400377357,abx
Gambia,Pigmeat,21.42421500508476,abx
Gambia,Poultry Meat,8.455610112826054,abx
Georgia,Bovine Meat,135.64125254114975,abx
Georgia,Mutton & Goat Meat,343.8313571943396,abx
Georgia,Pigmeat,183.24822839007436,abx
Georgia,Poultry Meat,17.83350442943052,abx
Germany,Bovine Meat,47.326016314676636,abx
