country_code,country,fbs_item_code,fbs_item,schar_freshwater_item,Aquaculture production (brackishwater),Aquaculture production (freshwater),Aquaculture production (marine),Capture production,mt_production_aqua,mt_production_total
7,Angola,2761.0,Freshwater Fish,tilapia,0.0,1898.0,0.0,0.0,1898.0,1898.0
7,Angola,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,60480.0,0.0,60480.0
7,Angola,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,288073.0,0.0,288073.0
7,Angola,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,32855.0,0.0,32855.0
7,Angola,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,2626.0,0.0,2626.0
7,Angola,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,1728.0,0.0,1728.0
8,Antigua and Barbuda,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
8,Antigua and Barbuda,2761.0,Freshwater Fish,tilapia,0.0,10.0,0.0,0.0,10.0,10.0
8,Antigua and Barbuda,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,1027.0,0.0,1027.0
8,Antigua and Barbuda,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,80.0,0.0,80.0
8,Antigua and Barbuda,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,197.0,0.0,197.0
8,Antigua and Barbuda,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,278.0,0.0,278.0
8,Antigua and Barbuda,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,1583.0,0.0,1583.0
9,Argentina,2761.0,Freshwater Fish,catfish,0.0,1234.84,0.0,25096.0,1234.84,26330.84
9,Argentina,2761.0,Freshwater Fish,diadromous_avg,0.0,1188.74,13.0,0.0,1201.74,1201.74
9,Argentina,2761.0,Freshwater Fish,non_freshwater,0.0,103.81,0.0,388.0,103.81,491.81
9,Argentina,2761.0,Freshwater Fish,tilapia,0.0,23.7,0.0,0.0,23.7,23.7
9,Argentina,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,439647.0,0.0,439647.0
9,Argentina,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,23471.0,0.0,23471.0
9,Argentina,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,559.0,0.0,559.0
9,Argentina,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,218096.0,0.0,218096.0
9,Argentina,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,96295.0,0.0,96295.0
9,Argentina,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,19.5,22543.0,19.5,22562.5
9,Argentina,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,8.6,0.0,0.0,8.6,8.6
9,Argentina,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
10,Australia,2761.0,Freshwater Fish,catfish,0.0,901.78,0.0,884.3,901.78,1786.08
