country_code,country,fbs_item_code,fbs_item,mt_production_aqua,mt_production_total,%_production_aqua
178,Eritrea,2763.0,Pelagic Fish,0.0,1756.81,0.0
178,Eritrea,2764.0,"Marine Fish, Other",0.0,11.2,0.0
178,Eritrea,2765.0,Crustaceans,0.0,424.90999999999997,0.0
178,Eritrea,2766.0,Cephalopods,0.0,63.46,0.0
178,Eritrea,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
179,Qatar,2761.0,Freshwater Fish,10.0,10.0,1.0
179,Qatar,2762.0,Demersal Fish,0.0,9610.0,0.0
179,Qatar,2763.0,Pelagic Fish,0.0,5443.0,0.0
179,Qatar,2764.0,"Marine Fish, Other",0.0,1598.0,0.0
179,Qatar,2765.0,Crustaceans,0.0,439.0,0.0
179,Qatar,2766.0,Cephalopods,0.0,40.0,0.0
180,Palau,2761.0,Freshwater Fish,15.0,15.0,1.0
180,Palau,2762.0,Demersal Fish,7.0,1003.1199999999999,0.006978227928861952
180,Palau,2763.0,Pelagic Fish,0.0,3602.0,0.0
180,Palau,2764.0,"Marine Fish, Other",0.0,750.0,0.0
180,Palau,2765.0,Crustaceans,0.0,0.0,0.0
180,Palau,2767.0,"Molluscs, Other",0.0,0.0,0.0
180,Palau,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
181,Zimbabwe,2761.0,Freshwater Fish,12495.27,29225.369999999995,0.42754873590993037
181,Zimbabwe,2765.0,Crustaceans,0.0,0.0,0.0
182,Réunion,2761.0,Freshwater Fish,10.0,10.0,1.0
182,Réunion,2762.0,Demersal Fish,0.0,39.0,0.0
182,Réunion,2763.0,Pelagic Fish,0.0,2228.0,0.0
182,Réunion,2764.0,"Marine Fish, Other",0.0,3.0,0.0
182,Réunion,2765.0,Crustaceans,0.0,0.0,0.0
182,Réunion,2766.0,Cephalopods,0.0,0.0,0.0
182,Réunion,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
183,Romania,2761.0,Freshwater Fish,12847.740000000002,16646.12,0.7718158946349061
