country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
MAC,Poultry Meat,extensive,0.0027881706558224957,,0.0027881706558224957
MAR,Poultry Meat,extensive,0.11643884718049144,0.2,0.2
MDA,Poultry Meat,extensive,0.04527196345714971,,0.04527196345714971
MDG,Poultry Meat,extensive,0.7551602338334066,0.6,0.6
MDV,Poultry Meat,extensive,0.02688345482791,,0.02688345482791
MEA,Poultry Meat,extensive,0.0366629696153695,,0.0366629696153695
MEX,Poultry Meat,extensive,0.02607562124286362,0.04,0.04
MHL,Poultry Meat,extensive,0.18700169468236424,,0.18700169468236424
MIC,Poultry Meat,extensive,0.060322738518396084,,0.060322738518396084
MKD,Poultry Meat,extensive,0.033975589867989556,,0.033975589867989556
MLI,Poultry Meat,extensive,0.6084904287779107,0.9500000000000001,0.9500000000000001
MLT,Poultry Meat,extensive,0.005532316087581107,,0.005532316087581107
MMR,Poultry Meat,extensive,0.3214792329907114,0.84,0.84
MNA,Poultry Meat,extensive,0.07573306278575728,,0.07573306278575728
MNE,Poultry Meat,extensive,0.02271743541827534,,0.02271743541827534
MNG,Poultry Meat,extensive,0.06233878344386588,,0.06233878344386588
MOZ,Poultry Meat,extensive,0.8104026608999871,0.9,0.9
MRT,Poultry Meat,extensive,0.22188079060063093,0.63,0.63
MUS,Poultry Meat,extensive,0.022006997680653808,,0.022006997680653808
MWI,Poultry Meat,extensive,0.7487418144881905,0.85,0.85
MYS,Poultry Meat,extensive,0.014553541681822917,0.01,0.01
NAC,Poultry Meat,extensive,0.0030205523883413098,,0.0030205523883413098
NAM,Poultry Meat,extensive,0.09458097846852463,0.62,0.62
NER,Poultry Meat,extensive,0.819682345178402,0.97,0.97
NGA,Poultry Meat,extensive,0.24682980417478564,0.7000000000000001,0.7000000000000001
NIC,Poultry Meat,extensive,0.20316430144239084,,0.20316430144239084
NLD,Poultry Meat,extensive,0.003575197368073379,0.01,0.01
NOR,Poultry Meat,extensive,0.002720830034007218,0.01,0.01
NPL,Poultry Meat,extensive,0.3423962086106084,,0.3423962086106084
NRU,Poultry Meat,extensive,0.05983442665192326,,0.05983442665192326
NZL,Poultry Meat,extensive,0.005952321198723528,,0.005952321198723528
OED,Poultry Meat,extensive,0.005494158201471954,,0.005494158201471954
OMN,Poultry Meat,extensive,0.008981826344839999,,0.008981826344839999
OSS,Poultry Meat,extensive,0.020915798905494484,,0.020915798905494484
PAK,Poultry Meat,extensive,0.2264790480026672,0.44,0.44
PAN,Poultry Meat,extensive,0.012176660969092062,,0.012176660969092062
PER,Poultry Meat,extensive,0.055189366019543704,0.11,0.11
PHL,Poultry Meat,extensive,0.11558698253813685,0.75,0.75
PLW,Poultry Meat,extensive,0.046576258074557474,,0.046576258074557474
PNG,Poultry Meat,extensive,0.359721707869411,,0.359721707869411
POL,Poultry Meat,extensive,0.0086914419690846,,0.0086914419690846
PRE,Poultry Meat,extensive,0.3998499316280061,,0.3998499316280061
PRI,Poultry Meat,extensive,0.009837012168470103,,0.009837012168470103
PRT,Poultry Meat,extensive,0.0092871297325286,,0.0092871297325286
PRY,Poultry Meat,extensive,0.0471637958470497,,0.0471637958470497
PSE,Poultry Meat,extensive,0.20293501029992186,,0.20293501029992186
PSS,Poultry Meat,extensive,0.18981585997574923,,0.18981585997574923
PST,Poultry Meat,extensive,0.0046507562143760835,,0.0046507562143760835
QAT,Poultry Meat,extensive,0.001435614487847362,,0.001435614487847362
ROU,Poultry Meat,extensive,0.010949117706427751,,0.010949117706427751
RUS,Poultry Meat,extensive,0.013046939480167292,,0.013046939480167292
RWA,Poultry Meat,extensive,0.5843374793952144,0.9,0.9
SAS,Poultry Meat,extensive,0.17200629326577857,,0.17200629326577857
SAU,Poultry Meat,extensive,0.005605789598001012,,0.005605789598001012
SDN,Poultry Meat,extensive,0.3570019306676155,,0.3570019306676155
SEN,Poultry Meat,extensive,0.3816089495577289,0.7000000000000001,0.7000000000000001
SGP,Poultry Meat,extensive,0.0011238577623067885,,0.0011238577623067885
SLB,Poultry Meat,extensive,0.5516942593247324,,0.5516942593247324
SLE,Poultry Meat,extensive,0.7200608198530183,,0.7200608198530183
SLV,Poultry Meat,extensive,0.09548377279647563,,0.09548377279647563
SOM,Poultry Meat,extensive,0.8311097415492957,,0.8311097415492957
SRB,Poultry Meat,extensive,0.024336833885051395,,0.024336833885051395
SSA,Poultry Meat,extensive,0.3554227773123262,,0.3554227773123262
SSF,Poultry Meat,extensive,0.3551833650896469,,0.3551833650896469
SST,Poultry Meat,extensive,0.024857402574023617,,0.024857402574023617
STP,Poultry Meat,extensive,0.31953764824703224,,0.31953764824703224
SUR,Poultry Meat,extensive,0.041246158461355924,,0.041246158461355924
SVK,Poultry Meat,extensive,0.010274490027763213,0.1,0.1
SVN,Poultry Meat,extensive,0.006761993961318783,0.01,0.01
SWE,Poultry Meat,extensive,0.0039527304378275075,0.01,0.01
SWZ,Poultry Meat,extensive,0.09964132099445416,,0.09964132099445416
SYC,Poultry Meat,extensive,0.012391952220954083,,0.012391952220954083
TCA,Poultry Meat,extensive,0.02754702717533712,,0.02754702717533712
TCD,Poultry Meat,extensive,0.7640697049914051,0.99,0.99
TEA,Poultry Meat,extensive,0.0376328509247719,,0.0376328509247719
TEC,Poultry Meat,extensive,0.01701574043374993,,0.01701574043374993
TGO,Poultry Meat,extensive,0.607622799225523,0.7000000000000001,0.7000000000000001
THA,Poultry Meat,extensive,0.03183770583031396,0.33,0.33
TJK,Poultry Meat,extensive,0.33475782777714835,,0.33475782777714835
TLA,Poultry Meat,extensive,0.03697688403043552,,0.03697688403043552
TLS,Poultry Meat,extensive,0.2393295529173345,,0.2393295529173345
TMN,Poultry Meat,extensive,0.075016572685068,,0.075016572685068
TON,Poultry Meat,extensive,0.17874044748447085,,0.17874044748447085
TSA,Poultry Meat,extensive,0.17200629326577857,,0.17200629326577857
TSS,Poultry Meat,extensive,0.3551833650896469,,0.3551833650896469
TTO,Poultry Meat,extensive,0.018558468695142598,,0.018558468695142598
TUN,Poultry Meat,extensive,0.076017578378683,0.6,0.6
TUR,Poultry Meat,extensive,0.010514327055014233,,0.010514327055014233
TUV,Poultry Meat,extensive,0.24673247386344227,,0.24673247386344227
TZA,Poultry Meat,extensive,0.519322680231283,0.7000000000000001,0.7000000000000001
UGA,Poultry Meat,extensive,0.5828440038709356,0.9,0.9
UKR,Poultry Meat,extensive,0.05202969961671088,0.75,0.75
UMC,Poultry Meat,extensive,0.028422503059167704,,0.028422503059167704
URY,Poultry Meat,extensive,0.018909011089212384,,0.018909011089212384
USA,Poultry Meat,extensive,0.002879834927073719,0.01,0.01
UZB,Poultry Meat,extensive,0.12446102355415119,,0.12446102355415119
VCT,Poultry Meat,extensive,0.04711901747618315,,0.04711901747618315
VNM,Poultry Meat,extensive,0.07322215183389957,0.7000000000000001,0.7000000000000001
VUT,Poultry Meat,extensive,0.48463953673936716,,0.48463953673936716
WLD,Poultry Meat,extensive,0.032106018158477814,,0.032106018158477814
WSM,Poultry Meat,extensive,0.20882591782032597,0.8,0.8
XKX,Poultry Meat,extensive,0.060388432477229546,,0.060388432477229546
ZAF,Poultry Meat,extensive,0.04953041644868399,0.2,0.2
ZMB,Poultry Meat,extensive,0.4156523626659446,,0.4156523626659446
ZWE,Poultry Meat,extensive,0.609628934615518,0.3,0.3
ABW,Pigmeat,extensive,0.010843361280131698,,0.010843361280131698
AFE,Pigmeat,extensive,0.779381620432218,,0.779381620432218
AFG,Pigmeat,extensive,0.8715557647384607,0.0,0.0
AFW,Pigmeat,extensive,0.7424123952243304,,0.7424123952243304
AGO,Pigmeat,extensive,0.5762665820349914,,0.5762665820349914
ALB,Pigmeat,extensive,0.12903272364336077,,0.12903272364336077
ARB,Pigmeat,extensive,0.15263164893070488,,0.15263164893070488
ARE,Pigmeat,extensive,0.0023088471575537263,0.0,0.0
ARG,Pigmeat,extensive,0.049945061091025436,0.22,0.22
ARM,Pigmeat,extensive,0.13583550566097408,,0.13583550566097408
ATG,Pigmeat,extensive,0.06704393260828166,,0.06704393260828166
AUS,Pigmeat,extensive,0.00564516617837917,,0.00564516617837917
AUT,Pigmeat,extensive,0.004522823192676202,0.018000000000000002,0.018000000000000002
AZE,Pigmeat,extensive,0.13081137002451756,,0.13081137002451756
BDI,Pigmeat,extensive,0.8823603821847441,0.9,0.9
BEL,Pigmeat,extensive,0.0050952897359848115,0.0,0.0
BEN,Pigmeat,extensive,0.792676604224951,0.8,0.8
BFA,Pigmeat,extensive,0.8520222393941799,0.93,0.93
BGD,Pigmeat,extensive,0.5760457346130486,0.99,0.99
BGR,Pigmeat,extensive,0.0363691384876905,0.203,0.203
BHR,Pigmeat,extensive,0.005762926634444149,0.0,0.0
BHS,Pigmeat,extensive,0.020963371657510322,,0.020963371657510322
BIH,Pigmeat,extensive,0.1082697652875094,,0.1082697652875094
BLR,Pigmeat,extensive,0.0619136141292795,,0.0619136141292795
BLZ,Pigmeat,extensive,0.35009091911847334,,0.35009091911847334
BMU,Pigmeat,extensive,0.0015885927413876167,,0.0015885927413876167
BOL,Pigmeat,extensive,0.3986274519540014,0.2,0.2
BRA,Pigmeat,extensive,0.12755912205648884,0.35000000000000003,0.35000000000000003
BRB,Pigmeat,extensive,0.1457183170568445,,0.1457183170568445
