item_index,item,footprint,footprint_type,edible_fraction,median
Pakistan,Sheep & goat,50.96631474895074,kg_co2e,0.71,35.46472316692549
Egypt,Sheep & goat,34.75396472624598,kg_co2e,0.71,35.46472316692549
Sweden,Sheep & goat,27.877754108424128,mg_abx,0.71,484.2695171751262
Finland,Sheep & goat,37.17229902471432,mg_abx,0.71,484.2695171751262
Switzerland,Sheep & goat,110.40190547628578,mg_abx,0.71,484.2695171751262
Fiji,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
Qatar,Sheep & goat,17.24125308933081,kg_co2e,0.71,35.46472316692549
Faroe Islands,Sheep & goat,484.2695171751262,mg_abx,0.71,484.2695171751262
Falkland Islands (Malvinas),Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Republic of Korea,Sheep & goat,27.36958135170905,kg_co2e,0.71,35.46472316692549
Ecuador,Sheep & goat,29.343735316870045,kg_co2e,0.71,35.46472316692549
Syrian Arab Republic,Sheep & goat,295.3999328222163,mg_abx,0.71,484.2695171751262
Portugal,Sheep & goat,25.354718313376594,kg_co2e,0.71,35.46472316692549
Ethiopia,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Eswatini,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Dominican Republic,Sheep & goat,43.738446020713795,kg_co2e,0.71,35.46472316692549
Tajikistan,Sheep & goat,484.2695171751262,mg_abx,0.71,484.2695171751262
Estonia,Sheep & goat,286.5923758889184,mg_abx,0.71,484.2695171751262
Romania,Sheep & goat,16.847639745906797,kg_co2e,0.71,35.46472316692549
Eritrea,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Djibouti,Sheep & goat,56.46138456349776,kg_co2e,0.71,35.46472316692549
Thailand,Sheep & goat,6685.304134281158,mg_abx,0.71,484.2695171751262
Equatorial Guinea,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Russian Federation,Sheep & goat,44.65587855585833,kg_co2e,0.71,35.46472316692549
Timor-Leste,Sheep & goat,4.952265819824609,mg_abx,0.71,484.2695171751262
Republic of Moldova,Sheep & goat,14.529984401198236,kg_co2e,0.71,35.46472316692549
France,Sheep & goat,242.16887580387987,mg_abx,0.71,484.2695171751262
Niger,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
French Guiana,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Ethiopia,Sheep & goat,47.86628742001404,kg_co2e,0.71,35.46472316692549
