country_code,country,diet,output_group,type,attribute,value
7,Angola,high_income,Pig meat,t_animal,kg/cap/yr,29.03076890954447
7,Angola,high_income,Poultry,t_animal,kg/cap/yr,30.837684499504597
7,Angola,high_income,Pulses and soy,plant,kg/cap/yr,5.777193867889983
7,Angola,high_income,Sheep and goat meat,t_animal,kg/cap/yr,3.0456844602438884
7,Angola,high_income,Starchy roots,plant,kg/cap/yr,51.69666344708082
7,Angola,high_income,Sugars,plant,kg/cap/yr,60.39238440493954
7,Angola,high_income,Vegetable oils,plant,kg/cap/yr,14.731992509083248
7,Angola,high_income,Vegetables,plant,kg/cap/yr,114.14570058323407
8,Antigua and Barbuda,baseline,Aquatic animals,a_animal,kg/cap/yr,54.725
8,Antigua and Barbuda,baseline,Bovine meat,t_animal,kg/cap/yr,6.7250000000000005
8,Antigua and Barbuda,baseline,Dairy,t_animal,kg/cap/yr,46.544999999999995
8,Antigua and Barbuda,baseline,Eggs,t_animal,kg/cap/yr,2.84
8,Antigua and Barbuda,baseline,Fruits,plant,kg/cap/yr,132.1425
8,Antigua and Barbuda,baseline,Grains,plant,kg/cap/yr,84.74000000000001
8,Antigua and Barbuda,baseline,Nuts and seeds,plant,kg/cap/yr,2.1125000000000003
8,Antigua and Barbuda,baseline,Offals,t_animal,kg/cap/yr,2.6425
8,Antigua and Barbuda,baseline,Pig meat,t_animal,kg/cap/yr,7.322500000000001
8,Antigua and Barbuda,baseline,Poultry,t_animal,kg/cap/yr,58.245000000000005
8,Antigua and Barbuda,baseline,Pulses and soy,plant,kg/cap/yr,2.5525
8,Antigua and Barbuda,baseline,Sheep and goat meat,t_animal,kg/cap/yr,1.4625
8,Antigua and Barbuda,baseline,Starchy roots,plant,kg/cap/yr,17.255
8,Antigua and Barbuda,baseline,Sugars,plant,kg/cap/yr,51.25
8,Antigua and Barbuda,baseline,Vegetable oils,plant,kg/cap/yr,10.440000000000001
8,Antigua and Barbuda,baseline,Vegetables,plant,kg/cap/yr,64.70500000000001
8,Antigua and Barbuda,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.69662358490716
8,Antigua and Barbuda,eat_lancet,Bovine meat,t_animal,kg/cap/yr,3.349897896362796
8,Antigua and Barbuda,eat_lancet,Dairy,t_animal,kg/cap/yr,103.919916180758
8,Antigua and Barbuda,eat_lancet,Eggs,t_animal,kg/cap/yr,4.967546063651591
8,Antigua and Barbuda,eat_lancet,Fruits,plant,kg/cap/yr,93.60626322620911
8,Antigua and Barbuda,eat_lancet,Grains,plant,kg/cap/yr,121.40666291152408
8,Antigua and Barbuda,eat_lancet,Nuts and seeds,plant,kg/cap/yr,20.241792369121566
8,Antigua and Barbuda,eat_lancet,Pig meat,t_animal,kg/cap/yr,3.7719043280855775
8,Antigua and Barbuda,eat_lancet,Poultry,t_animal,kg/cap/yr,11.72853185595568
8,Antigua and Barbuda,eat_lancet,Pulses and soy,plant,kg/cap/yr,30.362688553682347
8,Antigua and Barbuda,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,0.728509393818675
8,Antigua and Barbuda,eat_lancet,Starchy roots,plant,kg/cap/yr,20.812425873551682
8,Antigua and Barbuda,eat_lancet,Sugars,plant,kg/cap/yr,11.314999999999998
8,Antigua and Barbuda,eat_lancet,Vegetable oils,plant,kg/cap/yr,14.600000000000001
8,Antigua and Barbuda,eat_lancet,Vegetables,plant,kg/cap/yr,138.2305900100767
8,Antigua and Barbuda,high_income,Aquatic animals,a_animal,kg/cap/yr,54.725
8,Antigua and Barbuda,high_income,Bovine meat,t_animal,kg/cap/yr,6.7250000000000005
8,Antigua and Barbuda,high_income,Dairy,t_animal,kg/cap/yr,46.544999999999995
8,Antigua and Barbuda,high_income,Eggs,t_animal,kg/cap/yr,2.84
8,Antigua and Barbuda,high_income,Fruits,plant,kg/cap/yr,132.1425
8,Antigua and Barbuda,high_income,Grains,plant,kg/cap/yr,84.74000000000001
8,Antigua and Barbuda,high_income,Nuts and seeds,plant,kg/cap/yr,2.1125000000000003
8,Antigua and Barbuda,high_income,Offals,t_animal,kg/cap/yr,2.6425
8,Antigua and Barbuda,high_income,Pig meat,t_animal,kg/cap/yr,7.322500000000001
8,Antigua and Barbuda,high_income,Poultry,t_animal,kg/cap/yr,58.245000000000005
8,Antigua and Barbuda,high_income,Pulses and soy,plant,kg/cap/yr,2.5525
8,Antigua and Barbuda,high_income,Sheep and goat meat,t_animal,kg/cap/yr,1.4625
8,Antigua and Barbuda,high_income,Starchy roots,plant,kg/cap/yr,17.255
8,Antigua and Barbuda,high_income,Sugars,plant,kg/cap/yr,51.25
8,Antigua and Barbuda,high_income,Vegetable oils,plant,kg/cap/yr,10.440000000000001
8,Antigua and Barbuda,high_income,Vegetables,plant,kg/cap/yr,64.70500000000001
9,Argentina,baseline,Aquatic animals,a_animal,kg/cap/yr,6.94
9,Argentina,baseline,Bovine meat,t_animal,kg/cap/yr,56.42357757082911
9,Argentina,baseline,Dairy,t_animal,kg/cap/yr,170.77876723654626
9,Argentina,baseline,Eggs,t_animal,kg/cap/yr,16.786220687253305
9,Argentina,baseline,Fruits,plant,kg/cap/yr,89.65258703924978
9,Argentina,baseline,Grains,plant,kg/cap/yr,160.79140767723558
9,Argentina,baseline,Nuts and seeds,plant,kg/cap/yr,1.7009008590666357
9,Argentina,baseline,Offals,t_animal,kg/cap/yr,8.848760341927775
9,Argentina,baseline,Pig meat,t_animal,kg/cap/yr,13.7675
9,Argentina,baseline,Poultry,t_animal,kg/cap/yr,44.5575
9,Argentina,baseline,Pulses and soy,plant,kg/cap/yr,15.535061173812341
9,Argentina,baseline,Sheep and goat meat,t_animal,kg/cap/yr,1.3
9,Argentina,baseline,Starchy roots,plant,kg/cap/yr,52.86304308924213
9,Argentina,baseline,Sugars,plant,kg/cap/yr,46.501804308924214
9,Argentina,baseline,Vegetable oils,plant,kg/cap/yr,14.395
9,Argentina,baseline,Vegetables,plant,kg/cap/yr,78.82100945992627
9,Argentina,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.993696776302592
9,Argentina,eat_lancet,Bovine meat,t_animal,kg/cap/yr,5.7919933614561945
9,Argentina,eat_lancet,Dairy,t_animal,kg/cap/yr,107.64976077477348
9,Argentina,eat_lancet,Eggs,t_animal,kg/cap/yr,4.967546063651591
9,Argentina,eat_lancet,Fruits,plant,kg/cap/yr,95.86443988689335
9,Argentina,eat_lancet,Grains,plant,kg/cap/yr,112.22870846621666
9,Argentina,eat_lancet,Nuts and seeds,plant,kg/cap/yr,20.826415042109996
9,Argentina,eat_lancet,Pig meat,t_animal,kg/cap/yr,1.5554516658571012
9,Argentina,eat_lancet,Poultry,t_animal,kg/cap/yr,11.858377243994092
9,Argentina,eat_lancet,Pulses and soy,plant,kg/cap/yr,31.238039550558543
9,Argentina,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,0.1334476063741451
9,Argentina,eat_lancet,Starchy roots,plant,kg/cap/yr,24.134030263560344
9,Argentina,eat_lancet,Sugars,plant,kg/cap/yr,11.315
9,Argentina,eat_lancet,Vegetable oils,plant,kg/cap/yr,14.599999999999998
9,Argentina,eat_lancet,Vegetables,plant,kg/cap/yr,145.7509203462783
9,Argentina,high_income,Aquatic animals,a_animal,kg/cap/yr,29.5025
9,Argentina,high_income,Bovine meat,t_animal,kg/cap/yr,14.908531589887088
9,Argentina,high_income,Dairy,t_animal,kg/cap/yr,145.88781627903344
9,Argentina,high_income,Eggs,t_animal,kg/cap/yr,11.887445059479193
9,Argentina,high_income,Fruits,plant,kg/cap/yr,86.60321898268154
9,Argentina,high_income,Grains,plant,kg/cap/yr,134.69652992861745
9,Argentina,high_income,Nuts and seeds,plant,kg/cap/yr,7.709022895553837
9,Argentina,high_income,Offals,t_animal,kg/cap/yr,3.712811919225196
9,Argentina,high_income,Pig meat,t_animal,kg/cap/yr,29.03076890954447
9,Argentina,high_income,Poultry,t_animal,kg/cap/yr,30.837684499504597
9,Argentina,high_income,Pulses and soy,plant,kg/cap/yr,5.777193867889983
9,Argentina,high_income,Sheep and goat meat,t_animal,kg/cap/yr,3.0456844602438884
9,Argentina,high_income,Starchy roots,plant,kg/cap/yr,51.486629284419436
9,Argentina,high_income,Sugars,plant,kg/cap/yr,60.378384404939546
9,Argentina,high_income,Vegetable oils,plant,kg/cap/yr,14.655742509083248
9,Argentina,high_income,Vegetables,plant,kg/cap/yr,114.14570058323407
10,Australia,baseline,Aquatic animals,a_animal,kg/cap/yr,26.4725
10,Australia,baseline,Bovine meat,t_animal,kg/cap/yr,29.205
10,Australia,baseline,Dairy,t_animal,kg/cap/yr,222.62249999999997
10,Australia,baseline,Eggs,t_animal,kg/cap/yr,8.291062163336667
10,Australia,baseline,Fruits,plant,kg/cap/yr,79.55748089925113
10,Australia,baseline,Grains,plant,kg/cap/yr,110.8195861251756
10,Australia,baseline,Nuts and seeds,plant,kg/cap/yr,8.671854869680342
10,Australia,baseline,Offals,t_animal,kg/cap/yr,9.67903622067934
10,Australia,baseline,Pig meat,t_animal,kg/cap/yr,26.3375
10,Australia,baseline,Poultry,t_animal,kg/cap/yr,49.725
10,Australia,baseline,Pulses and soy,plant,kg/cap/yr,5.209626524775389
10,Australia,baseline,Sheep and goat meat,t_animal,kg/cap/yr,10.885000000000002
10,Australia,baseline,Starchy roots,plant,kg/cap/yr,49.47221487837169
10,Australia,baseline,Sugars,plant,kg/cap/yr,117.75478329745627
10,Australia,baseline,Vegetable oils,plant,kg/cap/yr,23.9375
10,Australia,baseline,Vegetables,plant,kg/cap/yr,97.3308127671831
10,Australia,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.451053291974437
10,Australia,eat_lancet,Bovine meat,t_animal,kg/cap/yr,3.311455525011568
10,Australia,eat_lancet,Dairy,t_animal,kg/cap/yr,93.228403613157
10,Australia,eat_lancet,Eggs,t_animal,kg/cap/yr,4.8661675725566615
10,Australia,eat_lancet,Fruits,plant,kg/cap/yr,81.14491858655383
10,Australia,eat_lancet,Grains,plant,kg/cap/yr,118.14843567132453
10,Australia,eat_lancet,Nuts and seeds,plant,kg/cap/yr,19.404572036150984
