country_code,country,diet,kg/cap/yr,kcal/cap/day,g_pro/cap/day,loss_adj_kg/cap/yr,loss_adj_g_pro/cap/day,loss_adj_kcal/cap/day
95,Honduras,baseline,448.38810774570123,2665.124515767621,63.031070315090716,369.55509469543557,51.05092305800567,2302.091394778725
95,Honduras,eat_lancet,589.4759988727883,2807.6622218753237,0.0,490.71107674748686,0.0,2503.0
95,Honduras,high_income,740.379433611738,3116.2741629416946,101.5690698661988,596.3627144714088,80.68940757905132,2569.7167287953926
96,"China, Hong Kong SAR",baseline,698.0788749233599,3058.8376825096257,128.1486656770079,572.8015911229228,105.56332157809342,2564.9572210746946
96,"China, Hong Kong SAR",eat_lancet,530.1516669303933,2548.305627173843,0.0,495.7894664784548,0.0,2407.0
96,"China, Hong Kong SAR",high_income,698.0788749233599,3058.8376825096257,128.1486656770079,572.8015911229228,105.56332157809342,2564.9572210746946
97,Hungary,baseline,690.3476688102894,3003.799652760596,92.55120107122113,552.1020045306941,71.40725684742776,2435.749552349794
97,Hungary,eat_lancet,555.3139995843139,2636.7695074174385,0.0,504.12494271105066,0.0,2407.0
97,Hungary,high_income,690.3476688102894,3003.799652760596,92.55120107122113,552.1020045306941,71.40725684742776,2435.749552349794
98,Croatia,baseline,987.93724067634,2968.756105062575,94.07411713548306,789.9763907640456,73.42772190320744,2388.898139554365
98,Croatia,eat_lancet,557.4720188274848,2625.8293886703573,0.0,507.64245855921376,0.0,2407.0
98,Croatia,high_income,987.93724067634,2968.756105062575,94.07411713548306,789.9763907640456,73.42772190320744,2388.898139554365
99,Iceland,baseline,791.5179694485842,3325.0839849720514,137.04650339871102,657.6393840049907,110.55718906956727,2760.335360246464
99,Iceland,eat_lancet,550.8668431210348,2592.405929328345,0.0,510.22973193535574,0.0,2407.0
99,Iceland,high_income,791.5179694485842,3325.0839849720514,137.04650339871102,657.6393840049907,110.55718906956727,2760.335360246464
100,India,baseline,568.0708077526627,2645.8824031825598,67.82383338805278,466.0085111072157,55.98201346928863,2279.6876902526774
100,India,eat_lancet,586.1604693602654,2858.43671340397,0.0,489.56152007077026,0.0,2503.0
100,India,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
101,Indonesia,baseline,615.8176334518236,3059.920841651383,70.88487863413782,512.2773297570502,60.079099237446876,2683.530718275074
101,Indonesia,eat_lancet,579.379587312846,2807.6772028285636,0.0,489.35496604809356,0.0,2503.0
101,Indonesia,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
102,Iran (Islamic Republic of),baseline,743.0445248529013,3214.27435303785,89.72805756838879,602.6233299579914,74.38142314456918,2758.0448764418693
102,Iran (Islamic Republic of),eat_lancet,600.1564091465542,2868.599669897447,0.0,500.9036687741046,0.0,2503.0
102,Iran (Islamic Republic of),high_income,744.5519493359984,3125.5658334672908,101.71412446162405,600.5352301956691,80.83446217447658,2579.0083993209887
103,Iraq,baseline,511.9084005019418,2685.4566986648565,67.72440058702641,401.3225243043795,52.62133607809665,2186.968973646988
103,Iraq,eat_lancet,583.4984779631535,2788.3845542946074,0.0,495.63972526067465,0.0,2503.0
103,Iraq,high_income,744.3559151733369,3125.272014025624,101.70524196368322,600.3959581640693,80.82801667674332,2578.8473578095604
104,Ireland,baseline,866.0861357702349,3533.7614940422727,114.0905343007334,712.6544748102839,89.7757445701509,2877.1848210343455
104,Ireland,eat_lancet,548.0526668821758,2606.9665766475014,0.0,505.41195465546474,0.0,2407.0
104,Ireland,high_income,866.0861357702349,3533.7614940422727,114.0905343007334,712.6544748102839,89.7757445701509,2877.1848210343455
105,Israel,baseline,866.0413556263908,3564.500748579292,128.85249914560245,685.3868008553294,104.2155616390036,3020.2966299709497
105,Israel,eat_lancet,609.0554526649291,2806.2821253000648,0.0,503.5758205134254,0.0,2503.0
105,Israel,high_income,866.0413556263908,3564.500748579292,128.85249914560245,685.3868008553294,104.2155616390036,3020.2966299709497
106,Italy,baseline,856.2180253923485,3317.6383151117143,103.25445378520912,682.4168718954676,79.82151651873625,2712.370147871046
106,Italy,eat_lancet,563.5319304303206,2707.401787205472,0.0,514.6034173900883,0.0,2503.0
106,Italy,high_income,856.2180253923485,3317.6383151117143,103.25445378520912,682.4168718954676,79.82151651873625,2712.370147871046
107,Côte d'Ivoire,baseline,739.4316553924439,3053.2782838428852,60.24232173900057,580.60338847474,50.50545972861403,2560.2248493162897
107,Côte d'Ivoire,eat_lancet,592.3925233596628,2819.5034958440083,0.0,487.5092740595914,0.0,2503.0
107,Côte d'Ivoire,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
108,Kazakhstan,baseline,1010.1992402654502,3405.933587150884,108.28288379640833,787.9587820536664,85.38553255922517,2795.794934017367
108,Kazakhstan,eat_lancet,610.9084962361011,2791.9298332924454,0.0,498.76082303901734,0.0,2407.0
108,Kazakhstan,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
109,Jamaica,baseline,708.8994000853971,2718.4527562190387,74.69192066500035,571.2474165386672,60.967294353154394,2334.084037080802
109,Jamaica,eat_lancet,597.4134958669696,2781.3444084900098,0.0,497.06282237191414,0.0,2503.0
109,Jamaica,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
110,Japan,baseline,533.1802661546194,2590.940014748043,87.14797138354331,423.6266921092776,70.6350260370579,2127.7425452560365
110,Japan,eat_lancet,544.4796506400367,2708.2720871088186,0.0,492.29308900208787,0.0,2503.0
110,Japan,high_income,533.1802661546194,2590.940014748043,87.14797138354331,423.6266921092776,70.6350260370579,2127.7425452560365
112,Jordan,baseline,520.7657708655822,2745.7070173880575,71.50185928192677,412.0500904635459,57.12619578014949,2343.3660901512694
112,Jordan,eat_lancet,597.9184887724426,2790.884486298521,0.0,496.8254907707847,0.0,2503.0
112,Jordan,high_income,738.1171923967285,3094.816073032916,100.9766868345158,595.4729890580604,80.3594424429819,2558.431331686845
113,Kyrgyzstan,baseline,804.0189921549791,2681.4017316212826,86.50325679591401,622.5750664630103,67.01907822032103,2114.8115908782656
113,Kyrgyzstan,eat_lancet,614.0200473935469,2784.4656880754983,0.0,499.17044211775755,0.0,2407.0
113,Kyrgyzstan,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
114,Kenya,baseline,501.2169243259201,2232.37329971402,64.31912259649576,408.69093420785197,54.12307981381477,1925.3531515231368
114,Kenya,eat_lancet,605.8027908562082,2854.6338041167446,0.0,492.45947724364635,0.0,2503.0
114,Kenya,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
115,Cambodia,baseline,643.4833085317459,2976.257762746588,72.96692191070056,528.2245689798984,60.95622410979717,2572.503729162686
115,Cambodia,eat_lancet,576.2185341802943,2842.818744170064,0.0,485.44510933169346,0.0,2503.0
115,Cambodia,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
116,Democratic People's Republic of Korea,baseline,492.1633920853195,2118.715200760886,55.844440770111405,396.62164551645617,46.32579282239879,1812.5845149745576
116,Democratic People's Republic of Korea,eat_lancet,583.6623738865331,2861.797452193671,0.0,488.075069679128,0.0,2503.0
116,Democratic People's Republic of Korea,high_income,744.3559151733369,3125.272014025624,101.70524196368322,600.3959581640693,80.82801667674332,2578.8473578095604
117,Republic of Korea,baseline,715.3979165281012,3262.8946725061605,96.41562439017228,558.838109766975,76.62388551884534,2708.0786822795335
117,Republic of Korea,eat_lancet,545.349713003546,2709.7232204415186,0.0,491.66785924711627,0.0,2503.0
117,Republic of Korea,high_income,715.3979165281012,3262.8946725061605,96.41562439017228,558.838109766975,76.62388551884534,2708.0786822795335
118,Kuwait,baseline,674.8450415724155,3447.6098855819946,98.74406569755075,540.9708760559602,80.52110493904974,2933.0570305888323
118,Kuwait,eat_lancet,579.2534203420944,2749.7993796432306,0.0,496.93394364028893,0.0,2503.0
118,Kuwait,high_income,674.8450415724155,3447.6098855819946,98.74406569755075,540.9708760559602,80.52110493904974,2933.0570305888323
119,Latvia,baseline,796.697087628866,3008.5573266080582,101.24659219537011,637.2242312591202,79.54826255150171,2424.716809762473
119,Latvia,eat_lancet,535.5226456856482,2607.9059283955085,0.0,493.7259838196198,0.0,2407.0
119,Latvia,high_income,796.697087628866,3008.5573266080582,101.24659219537011,637.2242312591202,79.54826255150171,2424.716809762473
120,Lao People's Democratic Republic,baseline,932.1226504340586,2994.089065056308,79.1438016270697,759.1246057538156,66.26586067184024,2549.5864552694125
120,Lao People's Democratic Republic,eat_lancet,573.1865649821913,2834.3684883007923,0.0,485.4006433796812,0.0,2503.0
120,Lao People's Democratic Republic,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
121,Lebanon,baseline,624.0517439812096,2888.1051653406025,71.01285897259696,491.253773199482,56.43815670366824,2437.576191278914
121,Lebanon,eat_lancet,606.4260599985473,2722.21291196351,0.0,499.6791585305258,0.0,2407.0
121,Lebanon,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
122,Lesotho,baseline,388.4775,2161.7131860823656,62.149409625935924,327.61694365007327,53.787102038342475,1914.9085195065609
122,Lesotho,eat_lancet,583.5699543239069,2785.3931626413882,0.0,488.3841871054769,0.0,2503.0
122,Lesotho,high_income,740.8132456528909,3104.1457512494026,101.44187906204856,597.1525774639614,80.58865133109934,2559.4874032586135
123,Liberia,baseline,423.2544720836615,2222.4953963893413,42.28686916898299,348.3689409841849,37.12984120231824,1976.5799766773287
123,Liberia,eat_lancet,591.5096168128409,2802.486261130002,0.0,487.67213549962383,0.0,2503.0
123,Liberia,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
124,Libya,baseline,723.263790663048,3315.6951119973137,87.06993184073295,563.4549135458819,68.96254049658154,2748.048901887374
124,Libya,eat_lancet,600.6772483789836,2719.7762577675085,0.0,499.7302967508663,0.0,2407.0
124,Libya,high_income,740.365433611738,3116.074162941695,101.5690698661988,596.3487144714088,80.68940757905132,2569.5167287953923
126,Lithuania,baseline,826.9245609065156,3648.016356865928,144.71412595039823,664.130615420798,115.09648437790304,2896.0743812200053
126,Lithuania,eat_lancet,543.0555615052789,2629.6568213956034,0.0,498.4845442552914,0.0,2407.0
126,Lithuania,high_income,826.9245609065156,3648.016356865928,144.71412595039823,664.130615420798,115.09648437790304,2896.0743812200053
128,"China, Macao SAR",baseline,644.4236722488039,2920.338399314614,97.61891692614194,540.9112273349393,79.76035159799824,2477.387199335448
128,"China, Macao SAR",eat_lancet,532.2302135126417,2642.128463144052,0.0,498.2952707403743,0.0,2503.0
128,"China, Macao SAR",high_income,644.4236722488039,2920.338399314614,97.61891692614194,540.9112273349393,79.76035159799824,2477.387199335448
129,Madagascar,baseline,456.17170845548526,2044.348575309748,45.76556326555552,372.5705796883467,39.52817415899325,1769.4874212020295
129,Madagascar,eat_lancet,598.4809536812083,2841.178897503956,0.0,487.3544092279299,0.0,2503.0
129,Madagascar,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
130,Malawi,baseline,783.937579137996,3040.5286278992426,82.4463665967631,600.2040207932884,67.51884576139751,2489.775306193724
130,Malawi,eat_lancet,605.7068667925686,2910.2818122607823,0.0,486.62163268802965,0.0,2503.0
130,Malawi,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
131,Malaysia,baseline,539.5241308235144,2985.7543031805867,77.02284429788338,468.7634785470853,66.16115333262502,2742.1331356107635
131,Malaysia,eat_lancet,557.140252531997,2718.407223554686,0.0,492.6004021088542,0.0,2503.0
131,Malaysia,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
132,Maldives,baseline,484.8375,2171.75,81.6225,415.21985363081984,68.99863193442788,1946.0484319865532
132,Maldives,eat_lancet,556.2341731972379,2617.8840720023672,0.0,498.23579802908836,0.0,2407.0
132,Maldives,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
133,Mali,baseline,687.721685380187,3428.869352155891,94.74088089621367,552.8782215947434,79.17464467545233,2917.9402874667476
133,Mali,eat_lancet,602.6979952957663,2888.8364007280134,0.0,486.9037698184513,0.0,2503.0
133,Mali,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
134,Malta,baseline,807.0277367370222,3137.1708349960513,110.78468839753268,647.602643408882,87.17995695383257,2551.3398267012917
134,Malta,eat_lancet,556.2096703067137,2597.365677683499,0.0,511.70286610648236,0.0,2407.0
134,Malta,high_income,807.0277367370222,3137.1708349960513,110.78468839753268,647.602643408882,87.17995695383257,2551.3398267012917
136,Mauritania,baseline,468.1704604051565,2917.117378380923,82.86220241175563,408.3542464343949,71.64537622860543,2639.9469222560833
136,Mauritania,eat_lancet,586.2154684065245,2806.555483114088,0.0,497.29012960935864,0.0,2503.0
136,Mauritania,high_income,741.7823935657533,3118.517816515923,101.70411864025559,597.765674425424,80.82445635310812,2571.960382369621
137,Mauritius,baseline,644.5540514517085,3071.2407265017932,85.15051099333769,581.6945937824859,75.28140606852298,2852.746237021665
