country_code,country,diet,type,output_group,origin,kg/cap/yr_by_coo,loss_adj_kcal/cap/day_by_coo
3,Albania,baseline,plant,Fruits,domestic,165.3786649374141,195.70992591166805
3,Albania,baseline,plant,Fruits,imported,24.377359858840446,24.561752381773637
3,Albania,baseline,plant,Grains,domestic,81.21043333777843,401.069367211911
3,Albania,baseline,plant,Grains,imported,90.41802426582834,437.4788983979512
3,Albania,baseline,plant,Nuts and seeds,domestic,4.0641891364661005,26.33035695138019
3,Albania,baseline,plant,Nuts and seeds,imported,0.790111626495578,6.8201943849626305
3,Albania,baseline,plant,Pulses and soy,domestic,7.281497854858114,59.78205334765035
3,Albania,baseline,plant,Pulses and soy,imported,0.5728076766140553,4.699026601272464
3,Albania,baseline,plant,Starchy roots,domestic,49.92495896042003,63.85266792635069
3,Albania,baseline,plant,Starchy roots,imported,3.294255535851865,4.210066017122017
3,Albania,baseline,plant,Sugars,domestic,2.665877399012726,19.109669055764748
3,Albania,baseline,plant,Sugars,imported,34.48102393617021,172.7699468085106
3,Albania,baseline,plant,Vegetable oils,domestic,4.132453939909298,98.08064058956919
3,Albania,baseline,plant,Vegetable oils,imported,7.027546060090702,166.66935941043081
3,Albania,baseline,plant,Vegetables,domestic,345.55717725522004,180.70468994242776
3,Albania,baseline,plant,Vegetables,imported,7.43331086685383,4.620538767875369
3,Albania,baseline,t_animal,Bovine meat,domestic,13.278821656050956,48.035237251218305
3,Albania,baseline,t_animal,Bovine meat,imported,0.25867834394904365,0.9357513750237297
3,Albania,baseline,t_animal,Dairy,domestic,340.7009554340475,647.5999261746236
3,Albania,baseline,t_animal,Dairy,imported,6.347909226954773,11.83860071655466
3,Albania,baseline,t_animal,Eggs,domestic,18.00940610369343,60.44616777166716
3,Albania,baseline,t_animal,Offals,domestic,4.869248309346281,12.284813612282896
3,Albania,baseline,t_animal,Offals,imported,0.5125524536153978,1.2931382749771467
3,Albania,baseline,t_animal,Pig meat,domestic,3.766917808219178,27.497170457429164
3,Albania,baseline,t_animal,Pig meat,imported,2.6280821917808215,19.18407241215988
3,Albania,baseline,t_animal,Poultry,domestic,4.600639097744361,19.3529501593985
3,Albania,baseline,t_animal,Poultry,imported,6.944360902255639,29.2120002406015
3,Albania,baseline,t_animal,Sheep and goat meat,domestic,9.45,40.299912
4,Algeria,baseline,a_animal,Aquatic animals,domestic,2.2222647424752346,3.7718008827692002
4,Algeria,baseline,a_animal,Aquatic animals,imported,1.5902352575247665,2.0340051407158
4,Algeria,baseline,plant,Fruits,domestic,106.16396489129474,152.07140653302744
4,Algeria,baseline,plant,Fruits,imported,6.794695444428658,7.040337258401149
4,Algeria,baseline,plant,Grains,domestic,63.428281460632576,360.0305489226015
4,Algeria,baseline,plant,Grains,imported,172.79144678821174,1005.1713091051793
4,Algeria,baseline,plant,Nuts and seeds,domestic,1.5112215189047216,10.893191990786265
4,Algeria,baseline,plant,Nuts and seeds,imported,0.7539204638606009,8.179796670769722
4,Algeria,baseline,plant,Pulses and soy,domestic,2.1980512194789505,18.026152126262758
4,Algeria,baseline,plant,Pulses and soy,imported,5.108511203900887,42.055346512912216
4,Algeria,baseline,plant,Starchy roots,domestic,97.79759527509879,153.26748879028034
4,Algeria,baseline,plant,Starchy roots,imported,2.3061923323189304,3.614243340520267
4,Algeria,baseline,plant,Sugars,domestic,1.6431197478991597,5.794817927170869
4,Algeria,baseline,plant,Sugars,imported,28.571880252100843,268.95518207282913
4,Algeria,baseline,plant,Vegetable oils,domestic,3.122665082161634,72.72973699200315
4,Algeria,baseline,plant,Vegetable oils,imported,19.307334917838364,460.0202630079968
4,Algeria,baseline,plant,Vegetables,domestic,208.9977147951885,112.70584383255171
4,Algeria,baseline,plant,Vegetables,imported,4.752373620740141,2.1326044191490574
4,Algeria,baseline,t_animal,Bovine meat,domestic,3.432071788413098,13.935450364017601
4,Algeria,baseline,t_animal,Bovine meat,imported,1.3154282115869016,5.34111337993706
4,Algeria,baseline,t_animal,Dairy,domestic,77.08687512333935,214.64723356438512
4,Algeria,baseline,t_animal,Dairy,imported,6.784669240107825,23.39461498173163
4,Algeria,baseline,t_animal,Eggs,domestic,7.657286719371371,19.594417795644755
4,Algeria,baseline,t_animal,Offals,domestic,1.6639500210250346,4.412301968883091
4,Algeria,baseline,t_animal,Offals,imported,0.018152182047545797,0.04813420329690636
4,Algeria,baseline,t_animal,Pig meat,imported,0.0075,0.0
4,Algeria,baseline,t_animal,Poultry,domestic,6.876062445793583,19.612047386346678
4,Algeria,baseline,t_animal,Poultry,imported,0.023937554206417775,0.0682751867235734
4,Algeria,baseline,t_animal,Sheep and goat meat,domestic,7.80762449186992,36.06912877203834
4,Algeria,baseline,t_animal,Sheep and goat meat,imported,0.03987550813008106,0.18421414081735504
7,Angola,baseline,a_animal,Aquatic animals,domestic,13.9547264886695,19.861398195051656
7,Angola,baseline,a_animal,Aquatic animals,imported,5.6002735113305,8.562256696487244
7,Angola,baseline,plant,Fruits,domestic,105.25350439491876,116.17708310655514
7,Angola,baseline,plant,Fruits,imported,1.0372908628845983,0.8669134745640756
7,Angola,baseline,plant,Grains,domestic,52.62973343912521,382.64842806239955
7,Angola,baseline,plant,Grains,imported,59.588202485157936,387.5211651916603
7,Angola,baseline,plant,Nuts and seeds,domestic,4.217829726892979,35.50834419804184
7,Angola,baseline,plant,Nuts and seeds,imported,0.08040295567994386,0.2412830970263966
7,Angola,baseline,plant,Pulses and soy,domestic,8.00757606733628,61.21513419666457
7,Angola,baseline,plant,Pulses and soy,imported,0.996022956523101,7.549094847971239
7,Angola,baseline,plant,Starchy roots,domestic,317.59839661540525,609.8326391474312
7,Angola,baseline,plant,Starchy roots,imported,0.4774616710722638,0.6820436435977998
7,Angola,baseline,plant,Sugars,domestic,11.390704898103111,23.205475748602378
7,Angola,baseline,plant,Sugars,imported,10.507559978972424,99.12414825011025
7,Angola,baseline,plant,Vegetable oils,domestic,3.0520685449965934,80.96674320633349
7,Angola,baseline,plant,Vegetable oils,imported,8.507931455003407,210.0332567936665
7,Angola,baseline,plant,Vegetables,domestic,26.059039951295595,11.335628608908248
7,Angola,baseline,plant,Vegetables,imported,2.8752887046972835,1.6964318767313589
7,Angola,baseline,t_animal,Bovine meat,domestic,3.276619433198381,15.011230460563688
7,Angola,baseline,t_animal,Bovine meat,imported,0.8108805668016194,3.714900467513235
7,Angola,baseline,t_animal,Dairy,domestic,5.866082541698563,15.93391024298844
7,Angola,baseline,t_animal,Dairy,imported,1.8144830674824355,5.589429853443325
7,Angola,baseline,t_animal,Eggs,domestic,0.08352272727272728,0.0
7,Angola,baseline,t_animal,Eggs,imported,0.0039772727272727225,0.0
7,Angola,baseline,t_animal,Offals,domestic,0.782509441634996,2.01396799599272
7,Angola,baseline,t_animal,Offals,imported,1.1449348672343627,2.9467531730840855
7,Angola,baseline,t_animal,Pig meat,domestic,4.137536842105264,35.21290204951769
7,Angola,baseline,t_animal,Pig meat,imported,3.6924631578947364,31.42505999638231
7,Angola,baseline,t_animal,Poultry,domestic,1.4066021126760566,4.07990497483374
7,Angola,baseline,t_animal,Poultry,imported,9.105897887323943,26.412016416028937
7,Angola,baseline,t_animal,Sheep and goat meat,domestic,0.81,3.43907676
8,Antigua and Barbuda,baseline,a_animal,Aquatic animals,domestic,14.88111717909531,12.502494794820521
8,Antigua and Barbuda,baseline,a_animal,Aquatic animals,imported,39.84388282090469,61.009496460698436
8,Antigua and Barbuda,baseline,plant,Fruits,domestic,82.8076923076923,69.39334821301776
8,Antigua and Barbuda,baseline,plant,Fruits,imported,49.33480769230769,58.09102317159764
8,Antigua and Barbuda,baseline,plant,Grains,imported,84.74000000000001,590.121504
8,Antigua and Barbuda,baseline,plant,Nuts and seeds,imported,2.1125000000000003,22.972768
8,Antigua and Barbuda,baseline,plant,Pulses and soy,imported,2.5525,19.438496
8,Antigua and Barbuda,baseline,plant,Starchy roots,imported,17.255,32.9353024
8,Antigua and Barbuda,baseline,plant,Sugars,imported,51.25,254.75
8,Antigua and Barbuda,baseline,plant,Vegetable oils,domestic,1.27875,26.0625
8,Antigua and Barbuda,baseline,plant,Vegetable oils,imported,9.161249999999999,207.4375
8,Antigua and Barbuda,baseline,plant,Vegetables,domestic,30.85024038461539,19.329601792899414
8,Antigua and Barbuda,baseline,plant,Vegetables,imported,33.85475961538462,23.41705289940829
8,Antigua and Barbuda,baseline,t_animal,Bovine meat,imported,6.7250000000000005,29.9043375
8,Antigua and Barbuda,baseline,t_animal,Dairy,domestic,18.744565217391305,54.425689043478265
8,Antigua and Barbuda,baseline,t_animal,Dairy,imported,27.800434782608693,105.15845175652173
8,Antigua and Barbuda,baseline,t_animal,Eggs,imported,2.84,9.16992
8,Antigua and Barbuda,baseline,t_animal,Offals,imported,2.6425,6.7868
8,Antigua and Barbuda,baseline,t_animal,Pig meat,imported,7.322500000000002,45.386725000000006
8,Antigua and Barbuda,baseline,t_animal,Poultry,imported,58.245,212.93585
8,Antigua and Barbuda,baseline,t_animal,Sheep and goat meat,imported,1.4625,5.514275
9,Argentina,baseline,a_animal,Aquatic animals,domestic,5.292087111056777,5.879307155512099
9,Argentina,baseline,a_animal,Aquatic animals,imported,1.6479128889432235,4.531088693320196
9,Argentina,baseline,plant,Fruits,domestic,75.97630291273349,46.47394212630804
9,Argentina,baseline,plant,Fruits,imported,13.676284126516299,15.814692772217157
9,Argentina,baseline,plant,Grains,domestic,160.19587049349295,1016.4776602714908
9,Argentina,baseline,plant,Grains,imported,0.5955371837426505,3.655792449972558
9,Argentina,baseline,plant,Nuts and seeds,domestic,1.5311425726106613,11.657917830351126
9,Argentina,baseline,plant,Nuts and seeds,imported,0.16975828645597443,1.734099163677954
9,Argentina,baseline,plant,Pulses and soy,domestic,14.510760470974347,22.891046081760532
9,Argentina,baseline,plant,Pulses and soy,imported,1.0243007028379933,0.8954289152361683
9,Argentina,baseline,plant,Starchy roots,domestic,51.96873877048825,73.37971562719713
9,Argentina,baseline,plant,Starchy roots,imported,0.8943043187538775,1.2878888049022934
9,Argentina,baseline,plant,Sugars,domestic,45.733089754798584,436.4140875964212
9,Argentina,baseline,plant,Sugars,imported,0.7687145541256323,7.291548442659129
9,Argentina,baseline,plant,Vegetable oils,domestic,13.926755869526202,340.1531866100373
9,Argentina,baseline,plant,Vegetable oils,imported,0.4682441304737955,10.096813389962705
9,Argentina,baseline,plant,Vegetables,domestic,76.50974895493727,45.930029321965804
9,Argentina,baseline,plant,Vegetables,imported,2.311260504989,1.2045183584125505
9,Argentina,baseline,t_animal,Bovine meat,domestic,56.24233339473329,294.71854193706866
9,Argentina,baseline,t_animal,Bovine meat,imported,0.18124417609581225,0.9497475671687752
9,Argentina,baseline,t_animal,Dairy,domestic,170.29422635016505,200.22563485589663
9,Argentina,baseline,t_animal,Dairy,imported,0.48454088638122905,0.6298361346319148
9,Argentina,baseline,t_animal,Eggs,domestic,16.786220687253305,55.3297376374214
9,Argentina,baseline,t_animal,Offals,domestic,8.848760341927775,21.85728302817413
9,Argentina,baseline,t_animal,Pig meat,domestic,13.00861682435212,84.08517502387916
9,Argentina,baseline,t_animal,Pig meat,imported,0.7588831756478801,4.905273597387803
9,Argentina,baseline,t_animal,Poultry,domestic,44.353653259626384,159.94505341292768
9,Argentina,baseline,t_animal,Poultry,imported,0.20384674037361494,0.7350979092129848
9,Argentina,baseline,t_animal,Sheep and goat meat,domestic,1.3,6.712145199999999
