item_index,item,footprint,footprint_type,edible_fraction,median
DEU,"Poultry Meat, extensive",4.838784233091787,mg_abx_bko,0.92,10.738713195954107
IND,"Poultry Meat, extensive",19.689754731280193,mg_abx_bko,0.92,10.738713195954107
Fiji,"Poultry Meat, extensive",14.506672122483177,kg_co2e_bko,0.92,10.245048139642776
TKM,"Poultry Meat, extensive",11.779933420893721,mg_abx_bko,0.92,10.738713195954107
Ethiopia,"Poultry Meat, extensive",6.17318405094514,kg_co2e_bko,0.92,10.245048139642776
DJI,"Poultry Meat, extensive",3.5576079740338162,mg_abx_bko,0.92,10.738713195954107
Eswatini,"Poultry Meat, extensive",7.913759494980905,kg_co2e_bko,0.92,10.245048139642776
TLS,"Poultry Meat, extensive",0.1658681234903377,mg_abx_bko,0.92,10.738713195954107
IDN,"Poultry Meat, extensive",19.385659699577296,mg_abx_bko,0.92,10.738713195954107
French Guiana,"Poultry Meat, extensive",16.905288685199377,kg_co2e_bko,0.92,10.245048139642776
Iran (Islamic Republic of),"Poultry Meat, extensive",9.676484758950464,kg_co2e_bko,0.92,10.245048139642776
Greece,"Poultry Meat, extensive",5.3720135839924295,kg_co2e_bko,0.92,10.245048139642776
CRI,"Poultry Meat, extensive",10.742442098429951,mg_abx_bko,0.92,10.738713195954107
COG,"Poultry Meat, extensive",3.494248146135266,mg_abx_bko,0.92,10.738713195954107
Indonesia,"Poultry Meat, extensive",10.843531680970031,kg_co2e_bko,0.92,10.245048139642776
SVN,"Poultry Meat, extensive",2.084731769323671,mg_abx_bko,0.92,10.738713195954107
India,"Poultry Meat, extensive",10.444035396702917,kg_co2e_bko,0.92,10.245048139642776
COK,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
JAM,"Poultry Meat, extensive",11.028413562801932,mg_abx_bko,0.92,10.738713195954107
SWE,"Poultry Meat, extensive",0.8957773792270529,mg_abx_bko,0.92,10.738713195954107
Hungary,"Poultry Meat, extensive",6.665748224670019,kg_co2e_bko,0.92,10.245048139642776
COL,"Poultry Meat, extensive",10.631662000301933,mg_abx_bko,0.92,10.738713195954107
ITA,"Poultry Meat, extensive",11.395354388586956,mg_abx_bko,0.92,10.738713195954107
Honduras,"Poultry Meat, extensive",12.348142911092767,kg_co2e_bko,0.92,10.245048139642776
TCA,"Poultry Meat, extensive",10.801626260567632,mg_abx_bko,0.92,10.738713195954107
SWZ,"Poultry Meat, extensive",3.471572910628019,mg_abx_bko,0.92,10.738713195954107
