country_code,country,fbs_item_code,fbs_item,mt_production
3,Albania,2557,Sunflower seed,1250.0
3,Albania,2558,Rape and Mustardseed,0.0
3,Albania,2559,Cottonseed,750.0
3,Albania,2560,Coconuts - Incl Copra,0.0
3,Albania,2561,Sesame seed,0.0
3,Albania,2563,Olives (including preserved),105750.0
3,Albania,2570,"Oilcrops, Other",0.0
3,Albania,2571,Soyabean Oil,0.0
3,Albania,2572,Groundnut Oil,0.0
3,Albania,2573,Sunflowerseed Oil,500.0
3,Albania,2574,Rape and Mustard Oil,0.0
3,Albania,2575,Cottonseed Oil,0.0
3,Albania,2576,Palmkernel Oil,0.0
3,Albania,2577,Palm Oil,0.0
3,Albania,2578,Coconut Oil,0.0
3,Albania,2579,Sesameseed Oil,0.0
3,Albania,2580,Olive Oil,11000.0
3,Albania,2582,Maize Germ Oil,0.0
3,Albania,2586,"Oilcrops Oil, Other",2250.0
3,Albania,2601,Tomatoes and products,290250.0
3,Albania,2602,Onions,105750.0
3,Albania,2605,"Vegetables, Other",770750.0
3,Albania,2611,"Oranges, Mandarines",39750.0
3,Albania,2612,"Lemons, Limes and products",3750.0
3,Albania,2613,Grapefruit and products,0.0
3,Albania,2614,"Citrus, Other",0.0
3,Albania,2615,Bananas,0.0
3,Albania,2616,Plantains,0.0
3,Albania,2617,Apples and products,103000.0
3,Albania,2618,Pineapples and products,0.0
3,Albania,2619,Dates,13500.0
3,Albania,2620,Grapes and products (excl wine),195750.0
3,Albania,2625,"Fruits, Other",159750.0
3,Albania,2630,Coffee and products,0.0
3,Albania,2633,Cocoa Beans and products,0.0
3,Albania,2635,Tea (including mate),0.0
3,Albania,2640,Pepper,0.0
3,Albania,2641,Pimento,0.0
3,Albania,2642,Cloves,0.0
3,Albania,2645,"Spices, Other",0.0
3,Albania,2655,Wine,16500.0
3,Albania,2656,Beer,62250.0
3,Albania,2657,"Beverages, Fermented",0.0
3,Albania,2658,"Beverages, Alcoholic",3500.0
3,Albania,2659,"Alcohol, Non-Food",0.0
3,Albania,2680,Infant food,0.0
3,Albania,2731,Bovine Meat,38500.0
3,Albania,2732,Mutton & Goat Meat,27000.0
3,Albania,2733,Pigmeat,10750.0
3,Albania,2734,Poultry Meat,13500.0
3,Albania,2735,"Meat, Other",0.0
3,Albania,2736,"Offals, Edible",14000.0
3,Albania,2737,"Fats, Animals, Raw",4000.0
3,Albania,2740,"Butter, Ghee",4750.0
3,Albania,2743,Cream,0.0
3,Albania,2744,Eggs,52750.0
3,Albania,2745,Honey,4000.0
3,Albania,2761,Freshwater Fish,2342.5
3,Albania,2762,Demersal Fish,5377.5
3,Albania,2763,Pelagic Fish,1600.0
3,Albania,2764,"Marine Fish, Other",232.49999999999991
3,Albania,2765,Crustaceans,2095.0
3,Albania,2766,Cephalopods,340.0
3,Albania,2767,"Molluscs, Other",685.0
3,Albania,2769,"Aquatic Animals, Others",0.0
3,Albania,2775,Aquatic Plants,7.5
3,Albania,2781,"Fish, Body Oil",0.0
3,Albania,2782,"Fish, Liver Oil",0.0
3,Albania,2805,Rice (Milled Equivalent),0.0
3,Albania,2848,Milk - Excluding Butter,1139500.0
3,Albania,2899,Miscellaneous,0.0
3,Albania,2562,Palm kernels,0.0
4,Algeria,2511,Wheat and products,3183750.0
4,Algeria,2513,Barley and products,1373750.0
4,Algeria,2514,Maize and products,4250.0
4,Algeria,2515,Rye and products,0.0
4,Algeria,2516,Oats,88750.0
4,Algeria,2517,Millet and products,0.0
4,Algeria,2518,Sorghum and products,4750.0
4,Algeria,2520,"Cereals, Other",0.0
4,Algeria,2531,Potatoes and products,4759750.0
4,Algeria,2532,Cassava and products,0.0
4,Algeria,2533,Sweet potatoes,0.0
4,Algeria,2534,"Roots, Other",0.0
4,Algeria,2537,Sugar beet,0.0
4,Algeria,2542,Sugar (Raw Equivalent),0.0
4,Algeria,2543,"Sweeteners, Other",133000.0
4,Algeria,2546,Beans,1750.0
4,Algeria,2547,Peas,9750.0
4,Algeria,2549,"Pulses, Other and products",102750.0
4,Algeria,2551,Nuts and products,64250.0
4,Algeria,2555,Soyabeans,0.0
4,Algeria,2556,Groundnuts (Shelled Eq),10500.0
4,Algeria,2557,Sunflower seed,0.0
4,Algeria,2558,Rape and Mustardseed,23500.0
4,Algeria,2559,Cottonseed,0.0
4,Algeria,2560,Coconuts - Incl Copra,0.0
4,Algeria,2561,Sesame seed,0.0
4,Algeria,2563,Olives (including preserved),777500.0
4,Algeria,2570,"Oilcrops, Other",0.0
4,Algeria,2571,Soyabean Oil,0.0
4,Algeria,2572,Groundnut Oil,27750.0
4,Algeria,2573,Sunflowerseed Oil,3500.0
4,Algeria,2574,Rape and Mustard Oil,8000.0
4,Algeria,2575,Cottonseed Oil,0.0
4,Algeria,2576,Palmkernel Oil,0.0
4,Algeria,2577,Palm Oil,0.0
4,Algeria,2578,Coconut Oil,0.0
4,Algeria,2579,Sesameseed Oil,0.0
4,Algeria,2580,Olive Oil,88000.0
4,Algeria,2582,Maize Germ Oil,0.0
4,Algeria,2586,"Oilcrops Oil, Other",33000.0
4,Algeria,2601,Tomatoes and products,1338750.0
4,Algeria,2602,Onions,1490000.0
4,Algeria,2605,"Vegetables, Other",5995500.0
4,Algeria,2611,"Oranges, Mandarines",1321000.0
4,Algeria,2612,"Lemons, Limes and products",79500.0
4,Algeria,2613,Grapefruit and products,2000.0
4,Algeria,2614,"Citrus, Other",1000.0
4,Algeria,2615,Bananas,0.0
4,Algeria,2616,Plantains,0.0
4,Algeria,2617,Apples and products,510500.0
4,Algeria,2618,Pineapples and products,0.0
4,Algeria,2619,Dates,1080000.0
4,Algeria,2620,Grapes and products (excl wine),547750.0
4,Algeria,2625,"Fruits, Other",1002250.0
4,Algeria,2630,Coffee and products,0.0
4,Algeria,2633,Cocoa Beans and products,0.0
4,Algeria,2635,Tea (including mate),0.0
4,Algeria,2640,Pepper,0.0
4,Algeria,2641,Pimento,16000.0
4,Algeria,2642,Cloves,0.0
4,Algeria,2645,"Spices, Other",0.0
4,Algeria,2655,Wine,17500.0
4,Algeria,2656,Beer,149000.0
4,Algeria,2657,"Beverages, Fermented",0.0
4,Algeria,2658,"Beverages, Alcoholic",0.0
4,Algeria,2659,"Alcohol, Non-Food",0.0
4,Algeria,2680,Infant food,0.0
4,Algeria,2731,Bovine Meat,157500.0
4,Algeria,2732,Mutton & Goat Meat,344500.0
4,Algeria,2733,Pigmeat,0.0
4,Algeria,2734,Poultry Meat,287250.0
4,Algeria,2735,"Meat, Other",15000.0
4,Algeria,2736,"Offals, Edible",69750.0
4,Algeria,2737,"Fats, Animals, Raw",12000.0
4,Algeria,2740,"Butter, Ghee",5000.0
4,Algeria,2743,Cream,0.0
4,Algeria,2744,Eggs,337250.0
4,Algeria,2745,Honey,6500.0
4,Algeria,2761,Freshwater Fish,1130.0
4,Algeria,2762,Demersal Fish,9310.0
4,Algeria,2763,Pelagic Fish,68804.99999999999
4,Algeria,2764,"Marine Fish, Other",12760.0
4,Algeria,2765,Crustaceans,2140.0
4,Algeria,2766,Cephalopods,1820.0
4,Algeria,2767,"Molluscs, Other",0.0
4,Algeria,2769,"Aquatic Animals, Others",0.0
4,Algeria,2775,Aquatic Plants,0.0
4,Algeria,2781,"Fish, Body Oil",0.0
4,Algeria,2782,"Fish, Liver Oil",0.0
4,Algeria,2805,Rice (Milled Equivalent),0.0
4,Algeria,2848,Milk - Excluding Butter,3376250.0
4,Algeria,2899,Miscellaneous,0.0
4,Algeria,2535,Yams,0.0
4,Algeria,2536,Sugar cane,0.0
7,Angola,2511,Wheat and products,2250.0
7,Angola,2513,Barley and products,0.0
7,Angola,2514,Maize and products,2550750.0
7,Angola,2515,Rye and products,0.0
7,Angola,2516,Oats,0.0
7,Angola,2517,Millet and products,58250.0
7,Angola,2518,Sorghum and products,40000.0
7,Angola,2520,"Cereals, Other",0.0
7,Angola,2531,Potatoes and products,511000.0
7,Angola,2532,Cassava and products,8494750.0
7,Angola,2533,Sweet potatoes,1751750.0
7,Angola,2534,"Roots, Other",0.0
7,Angola,2537,Sugar beet,0.0
7,Angola,2542,Sugar (Raw Equivalent),74750.0
7,Angola,2543,"Sweeteners, Other",242000.0
7,Angola,2546,Beans,327750.0
7,Angola,2547,Peas,0.0
7,Angola,2549,"Pulses, Other and products",21750.0
7,Angola,2551,Nuts and products,2000.0
7,Angola,2555,Soyabeans,31000.0
7,Angola,2556,Groundnuts (Shelled Eq),228000.0
7,Angola,2557,Sunflower seed,12000.0
7,Angola,2558,Rape and Mustardseed,0.0
7,Angola,2559,Cottonseed,3000.0
7,Angola,2560,Coconuts - Incl Copra,0.0
7,Angola,2561,Sesame seed,3000.0
7,Angola,2563,Olives (including preserved),0.0
7,Angola,2570,"Oilcrops, Other",4000.0
7,Angola,2571,Soyabean Oil,0.0
7,Angola,2572,Groundnut Oil,28000.0
7,Angola,2573,Sunflowerseed Oil,4000.0
7,Angola,2574,Rape and Mustard Oil,0.0
7,Angola,2575,Cottonseed Oil,1000.0
7,Angola,2576,Palmkernel Oil,9000.0
7,Angola,2577,Palm Oil,51750.0
7,Angola,2578,Coconut Oil,0.0
7,Angola,2579,Sesameseed Oil,0.0
7,Angola,2580,Olive Oil,0.0
7,Angola,2582,Maize Germ Oil,0.0
7,Angola,2586,"Oilcrops Oil, Other",1000.0
7,Angola,2601,Tomatoes and products,16750.0
7,Angola,2602,Onions,0.0
7,Angola,2605,"Vegetables, Other",773250.0
7,Angola,2611,"Oranges, Mandarines",0.0
7,Angola,2612,"Lemons, Limes and products",0.0
7,Angola,2613,Grapefruit and products,0.0
7,Angola,2614,"Citrus, Other",416500.0
7,Angola,2615,Bananas,3906500.0
7,Angola,2616,Plantains,0.0
7,Angola,2617,Apples and products,0.0
7,Angola,2618,Pineapples and products,765000.0
7,Angola,2619,Dates,0.0
7,Angola,2620,Grapes and products (excl wine),0.0
