country_code,country,fao_item_code,fao_item,2016,2017,2018,2019,mt_production
3,Albania,234,Nuts nes,8385.0,7720.0,7954.0,8354.0,8103.25
3,Albania,236,Soybeans,664.0,500.0,744.0,605.0,628.25
3,Albania,237,"Oil, soybean",86.0,72.0,88.0,83.0,82.25
3,Albania,244,"Oil, groundnut",15.0,5.0,6.0,305.0,82.75
3,Albania,257,"Oil, palm",,,,,
3,Albania,260,Olives,99075.0,107830.0,117573.0,98313.0,105697.75
3,Albania,261,"Oil, olive, virgin",10000.0,11500.0,11000.0,11000.0,10875.0
3,Albania,267,Sunflower seed,1972.0,1117.0,846.0,1013.0,1237.0
3,Albania,268,"Oil, sunflower",700.0,500.0,400.0,300.0,475.0
3,Albania,328,Seed cotton,820.0,820.0,820.0,833.0,823.25
3,Albania,329,Cottonseed,540.0,540.0,540.0,450.0,517.5
3,Albania,331,"Oil, cottonseed",72.0,72.0,72.0,60.0,69.0
3,Albania,358,Cabbages and other brassicas,56655.0,52600.0,52857.0,70411.0,58130.75
3,Albania,372,Lettuce and chicory,17357.0,17228.0,19487.0,21502.0,18893.5
3,Albania,373,Spinach,19348.0,19968.0,20552.0,23702.0,20892.5
3,Albania,388,Tomatoes,284552.0,286811.0,288626.0,299669.0,289914.5
3,Albania,393,Cauliflowers and broccoli,5891.0,5294.0,4648.0,7908.0,5935.25
3,Albania,394,"Pumpkins, squash and gourds",16345.0,13868.0,18483.0,18923.0,16904.75
3,Albania,397,Cucumbers and gherkins,94279.0,110210.0,120351.0,126632.0,112868.0
3,Albania,399,Eggplants (aubergines),31896.0,27898.0,31491.0,31122.0,30601.75
3,Albania,401,"Chillies and peppers, green",76810.0,75211.0,81317.0,85061.0,79599.75
3,Albania,402,"Onions, shallots, green",36945.0,40393.0,38760.0,40261.0,39089.75
3,Albania,403,"Onions, dry",100236.0,113736.0,100034.0,109368.0,105843.5
3,Albania,406,Garlic,12308.0,14544.0,13696.0,15056.0,13901.0
3,Albania,407,"Leeks, other alliaceous vegetables",33852.0,34393.0,35076.0,36894.0,35053.75
3,Albania,414,"Beans, green",11348.0,10274.0,11949.0,12248.0,11454.75
3,Albania,417,"Peas, green",5432.0,5749.0,4828.0,5456.0,5366.25
3,Albania,420,"Vegetables, leguminous nes",140.0,138.0,120.0,108.0,126.5
3,Albania,426,Carrots and turnips,14858.0,11974.0,10236.0,13571.0,12659.75
3,Albania,430,Okra,7666.0,8023.0,8757.0,9078.0,8381.0
3,Albania,449,Mushrooms and truffles,100.0,100.0,100.0,100.0,100.0
3,Albania,463,"Vegetables, fresh nes",7002.0,8087.0,19298.0,24317.0,14676.0
3,Albania,490,Oranges,10063.0,9130.0,10779.0,11556.0,10382.0
3,Albania,495,"Tangerines, mandarins, clementines, satsumas",26104.0,28674.0,30933.0,31235.0,29236.5
3,Albania,497,Lemons and limes,3607.0,3216.0,3768.0,4075.0,3666.5
3,Albania,512,"Fruit, citrus nes",565.0,12.0,20.0,16.0,153.25
3,Albania,515,Apples,101532.0,96338.0,108375.0,105933.0,103044.5
3,Albania,521,Pears,13384.0,13458.0,13565.0,14107.0,13628.5
3,Albania,523,Quinces,4241.0,4150.0,4633.0,4844.0,4467.0
3,Albania,526,Apricots,5194.0,5040.0,5139.0,4875.0,5062.0
3,Albania,530,"Cherries, sour",17165.0,17220.0,17293.0,17226.0,17226.0
3,Albania,531,Cherries,19261.0,19169.0,19210.0,19681.0,19330.25
3,Albania,534,Peaches and nectarines,18673.0,18359.0,19472.0,19884.0,19097.0
3,Albania,536,Plums and sloes,40180.0,42437.0,41241.0,40928.0,41196.5
3,Albania,541,"Fruit, stone nes",,,,,
3,Albania,544,Strawberries,,5089.0,4393.0,5273.0,4918.333333333333
3,Albania,560,Grapes,205001.0,202948.0,184832.0,189904.0,195671.25
3,Albania,564,Wine,17800.0,16868.0,15290.0,15925.0,16470.75
3,Albania,567,Watermelons,240993.0,252017.0,239533.0,259697.0,248060.0
3,Albania,568,"Melons, other (inc.cantaloupes)",42462.0,43654.0,41764.0,40713.0,42148.25
3,Albania,569,Figs,20902.0,20077.0,24448.0,22024.0,21862.75
3,Albania,577,Dates,14106.0,12978.0,13423.0,14035.0,13635.5
3,Albania,619,"Fruit, fresh nes",27050.0,11568.0,3940.0,3331.0,11472.25
3,Albania,677,Hops,1731.0,1741.0,1755.0,1742.0,1742.25
3,Albania,723,Spices nes,339.0,347.0,356.0,347.0,347.25
3,Albania,767,Cotton lint,246.0,246.0,246.0,205.0,235.75
3,Albania,826,"Tobacco, unmanufactured",1980.0,1358.0,1693.0,1403.0,1608.5
3,Albania,867,"Meat, cattle",38880.0,39017.0,38544.0,36709.0,38287.5
3,Albania,868,"Offals, edible, cattle",4842.0,4859.0,4800.0,4571.0,4768.0
3,Albania,869,"Fat, cattle",1687.0,1693.0,1673.0,1593.0,1661.5
3,Albania,882,"Milk, whole fresh cow",975663.0,982510.0,973526.0,946561.0,969565.0
3,Albania,886,"Butter, cow milk",4835.0,5173.0,4811.0,4282.0,4775.25
3,Albania,888,"Milk, skimmed cow",108272.0,116626.0,107952.0,102164.0,108753.5
3,Albania,901,"Cheese, whole cow milk",36337.0,38881.0,36163.0,35161.0,36635.5
3,Albania,919,"Hides, cattle, fresh",8069.0,8098.0,8000.0,7619.0,7946.5
3,Albania,951,"Milk, whole fresh buffalo",14.0,14.0,14.0,14.0,14.0
3,Albania,977,"Meat, sheep",16569.0,16512.0,18817.0,16678.0,17144.0
3,Albania,978,"Offals, sheep,edible",5178.0,5160.0,5880.0,5212.0,5357.5
3,Albania,979,"Fat, sheep",967.0,963.0,1098.0,973.0,1000.25
3,Albania,982,"Milk, whole fresh sheep",85446.0,86927.0,84788.0,81669.0,84707.5
3,Albania,984,"Cheese, sheep milk",1207.0,1225.0,1211.0,1157.0,1200.0
3,Albania,987,"Wool, greasy",3000.0,3000.0,3000.0,3182.0,3045.5
3,Albania,995,"Skins, sheep, fresh",4833.0,4816.0,5488.0,4864.0,5000.25
3,Albania,1017,"Meat, goat",9731.0,9723.0,12617.0,8210.0,10070.25
3,Albania,1018,"Offals, edible, goats",3073.0,3070.0,3984.0,2593.0,3180.0
3,Albania,1019,"Fat, goats",359.0,358.0,465.0,302.0,371.0
3,Albania,1020,"Milk, whole fresh goat",84988.0,86849.0,86039.0,83966.0,85460.5
3,Albania,1021,"Cheese, goat milk",1133.0,1155.0,1163.0,1124.0,1143.75
3,Albania,1025,"Skins, goat, fresh",2305.0,2303.0,2988.0,1944.0,2385.0
3,Albania,1035,"Meat, pig",11424.0,11561.0,10317.0,10232.0,10883.5
3,Albania,1036,"Offals, pigs, edible",762.0,771.0,688.0,682.0,725.75
3,Albania,1037,"Fat, pigs",762.0,771.0,688.0,682.0,725.75
3,Albania,1058,"Meat, chicken",12702.0,12912.0,15587.0,11633.0,13208.5
3,Albania,1062,"Eggs, hen, in shell",52950.0,51099.0,52133.0,54527.0,52677.25
3,Albania,1080,"Meat, turkey",1555.0,1511.0,1489.0,1494.0,1512.25
3,Albania,1091,"Eggs, other bird, in shell",200.0,200.0,200.0,200.0,200.0
3,Albania,1166,Meat nes,146.0,148.0,149.0,148.0,147.75
3,Albania,1182,"Honey, natural",3923.0,3614.0,3937.0,4116.0,3897.5
3,Albania,1242,"Margarine, short",0.0,0.0,0.0,,0.0
4,Algeria,15,Wheat,2440097.0,2436503.0,3981219.0,3876876.0,3183673.75
4,Algeria,27,"Rice, paddy",307.0,302.0,297.0,302.0,302.0
4,Algeria,30,"Rice, paddy (rice milled equivalent)",205.0,201.0,198.0,201.0,201.25
