country_code,country,fbs_item_code,fbs_item,baseline_kg/cap/yr,baseline_kcal/cap/day,baseline_g_pro/cap/day,type,fbs_group,bootstrap_subgroup,output_group,food_loss_group,ignore_extraction_rate,include_in_model,note_x,g_protein/kg,kcal/kg,mcg_b12/kg,%_imported,food_loss_region,loss_%_production,loss_%_postharvest,loss_%_milling,%_unproc,loss_%_proc,loss_%_dist_unproc,loss_%_dist_proc,loss_%_cons_unproc,loss_%_cons_proc,note_y,%_proc,%_after_losses,%_after_losses_postharvest_to_home,baseline_mcg_b12/cap/day,baseline_loss_adj_kg/cap/yr,baseline_loss_adj_g_pro/cap/day,baseline_loss_adj_kcal/cap/day,baseline_loss_adj_mcg_b12/cap/day
1,Armenia,2579,Sesameseed Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2580,Olive Oil,0.03,1.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.03,0.0,1.0,0
1,Armenia,2582,Maize Germ Oil,0.1425,3.25,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,"byproduct of maize starch, which is included under Maize and products; no impact is assigned to this item to avoid double-counting, but it still needs to go in the model for calculating calories",,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.1425,0.0,3.25,0
1,Armenia,2586,"Oilcrops Oil, Other",2.2924999999999995,45.75,0.04,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,2.2924999999999995,0.04,45.75,0
1,Armenia,2601,Tomatoes and products,61.00741794589093,28.589781906431572,1.35007303447038,plant,Vegetables,,Vegetables,fruits_and_vegetables,,yes,,,,,0.03616133518776078,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.7437466305980528,0.8911207844228094,0,45.374061538743554,1.0041122704486338,21.263553962441655,0
1,Armenia,2602,Onions,16.819620897294545,14.142624177905326,0.5076191892426734,plant,Vegetables,,Vegetables,fruits_and_vegetables,,yes,,,,,0.09547738693467336,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.7460641206030151,0.8938974874371859,0,12.54851567361615,0.3787164640235506,10.551304470307876,0
1,Armenia,2605,"Vegetables, Other",212.31346281061823,125.78439287946976,5.799322534863975,plant,Vegetables,,Vegetables,fruits_and_vegetables,,yes,,,,,0.02143707820563716,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.7431713509329099,0.8904315125049622,0,157.78528297821128,4.309890362730528,93.47935718251144,0
1,Armenia,2611,"Oranges, Mandarines",5.915,5.25,0.1025,plant,Fruits - Excluding Wine,Citrus fruits,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,4.62200466,0.08009390999999999,4.102371,0
1,Armenia,2612,"Lemons, Limes and products",0.86,0.0,0.015,plant,Fruits - Excluding Wine,Citrus fruits,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.67200744,0.01172106,0.0,0
1,Armenia,2613,Grapefruit and products,0.5325,0.0,0.0025,plant,Fruits - Excluding Wine,Citrus fruits,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.41609763,0.00195351,0.0,0
1,Armenia,2614,"Citrus, Other",0.015,0.0,0.0,plant,Fruits - Excluding Wine,Citrus fruits,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.01172106,0.0,0.0,0
1,Armenia,2615,Bananas,5.68,9.5,0.11,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,4.43837472,0.08595444,7.423338,0
1,Armenia,2616,Plantains,0.0275,0.0,0.0,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.02148861,0.0,0.0,0
1,Armenia,2617,Apples and products,19.766659740480023,26.811652594664206,0.0647177821250515,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,0.043037974683544304,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.744015302278481,0.8914426936708861,0,14.706697321849125,0.048151020230563064,19.94827980980471,0
1,Armenia,2618,Pineapples and products,0.365,0.25,0.0,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.28521246,0.0,0.195351,0
1,Armenia,2619,Dates,0.2525,1.0,0.01,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,1.0,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.781404,0.93624,0,0.19730451,0.00781404,0.781404,0
1,Armenia,2620,Grapes and products (excl wine),19.84105525400729,24.863477761913902,0.2369343174958854,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,0.035386631716906945,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.7437163627785058,0.8910845190039318,0,14.756117447197665,0.1762119288254476,18.49137524711487,0
1,Armenia,2625,"Fruits, Other",70.45468217284369,86.82447929114494,1.7111187964196424,plant,Fruits - Excluding Wine,,Fruits,fruits_and_vegetables,,yes,,,,,0.07692307692307693,europe_incl_russia,0.2,0.05,0.0,0.4,0.02,0.1,0.02,0.19,0.15,,0.6,0.7453392,0.8930289230769229,0,52.51263644696158,1.275363914828379,64.71368793527853,0
1,Armenia,2731,Bovine Meat,23.00405224323637,138.55407905580805,9.431355785728991,t_animal,Meat,,Bovine meat,meat,,yes,,,,,0.05714285714285714,europe_incl_russia,0.032,0.007,0.0,0.0,0.05,0.0,0.04,0.0,0.11,,1.0,0.806322912,0.9059807999999999,0,18.548694392566482,7.604718261257048,111.71932849375735,0
1,Armenia,2732,Mutton & Goat Meat,3.025,21.75,1.1175,t_animal,Meat,,Sheep and goat meat,meat,,yes,,,,,0.0,europe_incl_russia,0.032,0.007,0.0,0.0,0.05,0.0,0.04,0.0,0.11,,1.0,0.80599824,0.9056159999999999,0,2.438144676,0.9007030331999999,17.530461719999998,0
1,Armenia,2733,Pigmeat,7.667310448647273,66.4854153641356,2.4192601712348965,t_animal,Meat,,Pig meat,meat,,yes,,,,,0.39805825242718446,europe_incl_russia,0.032,0.007,0.0,0.0,0.05,0.0,0.04,0.0,0.11,,1.0,0.8082599114563107,0.9081572038834951,0,6.19717966433169,1.9553910117920965,53.737495935352285,0
1,Armenia,2734,Poultry Meat,15.269620897294546,51.32008347931776,5.174985757742042,t_animal,Meat,,Poultry,meat,,yes,,,,,0.7444444444444445,europe_incl_russia,0.032,0.007,0.0,0.0,0.05,0.0,0.04,0.0,0.11,,1.0,0.8102279946666666,0.9103685333333333,0,12.371874318935186,4.192918332923895,41.58096832357356,0
