country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
1,Armenia,eat_lancet,2767,"Molluscs, Other",Aquatic animals,a_animal,0.0574566280012579,1.0
1,Armenia,eat_lancet,2805,Rice (Milled Equivalent),Grains,plant,1.965668091443735,1.0
1,Armenia,eat_lancet,2848,Milk - Excluding Butter,Dairy,t_animal,93.28054001157564,1.0
1,Armenia,high_income,2511,Wheat and products,Grains,plant,91.8300205962428,1.0
1,Armenia,high_income,2513,Barley and products,Grains,plant,4.37676559658718,1.0
1,Armenia,high_income,2514,Maize and products,Grains,plant,11.65009823745334,1.0
1,Armenia,high_income,2515,Rye and products,Grains,plant,3.6389641761747176,1.0
1,Armenia,high_income,2516,Oats,Grains,plant,2.358456163669725,1.0
1,Armenia,high_income,2517,Millet and products,Grains,plant,0.0285800848936132,1.0
1,Armenia,high_income,2518,Sorghum and products,Grains,plant,0.2326999075612893,1.0
1,Armenia,high_income,2520,"Cereals, Other",Grains,plant,1.7076052172790075,1.0
1,Armenia,high_income,2531,Potatoes and products,Starchy roots,plant,48.917216794680996,1.0
1,Armenia,high_income,2532,Cassava and products,Starchy roots,plant,0.4096698113207547,1.0
1,Armenia,high_income,2533,Sweet potatoes,Starchy roots,plant,1.250995557881321,1.0
1,Armenia,high_income,2534,"Roots, Other",Starchy roots,plant,0.9087471205363536,1.0
1,Armenia,high_income,2537,Sugar beet,Sugars,plant,4.110265724260315,1.0
1,Armenia,high_income,2542,Sugar (Raw Equivalent),Sugars,plant,31.877311320754718,0.9999999999999999
1,Armenia,high_income,2543,"Sweeteners, Other",Sugars,plant,21.13443396226415,1.0
1,Armenia,high_income,2546,Beans,Pulses and soy,plant,1.1064769115364728,1.0
1,Armenia,high_income,2547,Peas,Pulses and soy,plant,1.0926086124069907,1.0
1,Armenia,high_income,2549,"Pulses, Other and products",Pulses and soy,plant,2.0247941634667987,0.9999999999999999
1,Armenia,high_income,2551,Nuts and products,Nuts and seeds,plant,2.653067092892576,1.0
1,Armenia,high_income,2555,Soyabeans,Pulses and soy,plant,1.5533141804797201,1.0000000000000002
1,Armenia,high_income,2556,Groundnuts (Shelled Eq),Nuts and seeds,plant,1.2146629733447485,1.0
1,Armenia,high_income,2557,Sunflower seed,Nuts and seeds,plant,0.27676887556134006,1.0
1,Armenia,high_income,2560,Coconuts - Incl Copra,Nuts and seeds,plant,3.183133040795039,1.0
1,Armenia,high_income,2561,Sesame seed,Nuts and seeds,plant,0.24616521599784558,0.9999999999999998
1,Armenia,high_income,2563,Olives (including preserved),Vegetables,plant,2.0608915060645048,1.0
1,Armenia,high_income,2570,"Oilcrops, Other",Nuts and seeds,plant,0.1352256969622879,1.0
1,Armenia,high_income,2571,Soyabean Oil,Vegetable oils,plant,3.1537560107730505,1.0
1,Armenia,high_income,2572,Groundnut Oil,Vegetable oils,plant,0.2456603773584905,1.0
1,Armenia,high_income,2573,Sunflowerseed Oil,Vegetable oils,plant,2.605675243714466,1.0
1,Armenia,high_income,2574,Rape and Mustard Oil,Vegetable oils,plant,2.389009433962264,1.0
1,Armenia,high_income,2575,Cottonseed Oil,Vegetable oils,plant,0.1075471698113207,1.0
1,Armenia,high_income,2576,Palmkernel Oil,Vegetable oils,plant,0.0366509433962264,1.0
1,Armenia,high_income,2577,Palm Oil,Vegetable oils,plant,1.0840158619659557,1.0
1,Armenia,high_income,2578,Coconut Oil,Vegetable oils,plant,0.18363207547169808,1.0
1,Armenia,high_income,2579,Sesameseed Oil,Vegetable oils,plant,0.0691981132075471,1.0
1,Armenia,high_income,2580,Olive Oil,Vegetable oils,plant,1.623632075471698,1.0
1,Armenia,high_income,2582,Maize Germ Oil,Vegetable oils,plant,0.7129205289209771,1.0
1,Armenia,high_income,2586,"Oilcrops Oil, Other",Vegetable oils,plant,2.4440446750295544,1.0
1,Armenia,high_income,2601,Tomatoes and products,Vegetables,plant,19.30024771086058,1.0
1,Armenia,high_income,2602,Onions,Vegetables,plant,9.861566222904528,1.0
1,Armenia,high_income,2605,"Vegetables, Other",Vegetables,plant,82.92299514340446,1.0
1,Armenia,high_income,2611,"Oranges, Mandarines",Fruits,plant,16.256347937345033,1.0
1,Armenia,high_income,2612,"Lemons, Limes and products",Fruits,plant,3.102057261411754,1.0
1,Armenia,high_income,2613,Grapefruit and products,Fruits,plant,2.027689839900431,1.0
1,Armenia,high_income,2614,"Citrus, Other",Fruits,plant,0.6120985506065443,1.0000000000000002
1,Armenia,high_income,2615,Bananas,Fruits,plant,11.52549116343902,1.0
1,Armenia,high_income,2616,Plantains,Fruits,plant,0.8506385940516652,1.0
1,Armenia,high_income,2617,Apples and products,Fruits,plant,11.64106216678311,1.0
1,Armenia,high_income,2618,Pineapples and products,Fruits,plant,2.9518341123814764,0.9999999999999999
1,Armenia,high_income,2619,Dates,Fruits,plant,2.6637779115198734,1.0
1,Armenia,high_income,2620,Grapes and products (excl wine),Fruits,plant,7.109669600546066,1.0
1,Armenia,high_income,2625,"Fruits, Other",Fruits,plant,27.862551844696576,1.0
1,Armenia,high_income,2731,Bovine Meat,Bovine meat,t_animal,14.908531589887088,1.0
1,Armenia,high_income,2732,Mutton & Goat Meat,Sheep and goat meat,t_animal,3.0456844602438884,1.0
