fbs_item_code,fbs_item,bootstrap_subgroup,fbs_group,footprint_type,output_group,footprint,weight,distribution_group_level
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.64,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.65,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.65,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.66702,0.03448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.679,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.6930000000000001,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.7,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.7,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.71,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.72,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.74,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.8,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.805,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.872,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.881,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.887,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.972,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,1.16,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,1.2863541,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,1.4882127,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,3.185,0.011494252873563211,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,3.482,0.011494252873563211,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,4.348800000000001,0.011494252873563211,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.0872,0.06250000000000004,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.20500000000000002,0.06250000000000004,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.211,0.12500000000000008,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.254,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.298,0.12500000000000008,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.323,0.06250000000000004,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.4136,0.06250000000000004,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.436,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.488,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.54,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.55,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.55,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5558000000000001,0.12500000000000008,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.57,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.579,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.623,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.66,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.75,0.04166666666666669,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.841,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.855,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.858,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.869,0.01250000000000001,fbs_item_code
2513,Barley and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.9420000000000001,0.01250000000000001,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.19530000000000003,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.20951,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.21169,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.21333000000000002,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.22590000000000002,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.2341,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.25158,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.25869,0.017857142857142856,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.28,0.07142857142857142,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.39,0.07142857142857142,fbs_item_code
