country_iso_code,country,supply_side_kg_tiseo,supply_side_kg,diff,%_diff
DNK,Denmark,9.4082e+16,4.665803843028153e+16,-4.742396156971847e+16,-0.5040705083833089
DMA,Dominica,398992814100000.0,103133953522954.48,-295858860577045.5,-0.7415142582063998
DOM,Dominican Republic,1.17e+17,5.214447383543617e+16,-6.485552616456383e+16,-0.5543207364492635
BLR,Belarus,2.44e+17,1.387860971185483e+17,-1.052139028814517e+17,-0.43120452000594955
ECU,Ecuador,2.5e+17,1.063877248438159e+17,-1.436122751561841e+17,-0.5744491006247364
EGY,Egypt,2.58e+17,4.198024846406182e+16,-2.1601975153593818e+17,-0.837285858666427
SLV,El Salvador,3.4554184293e+16,9888738041855088.0,-2.466544625114491e+16,-0.7138193754480162
EST,Estonia,6267000000000000.0,2916000900624297.0,-3350999099375703.0,-0.5347054570569176
FJI,Fiji,1.254324682e+16,4662203982968712.0,-7881042837031288.0,-0.6283096354657628
FIN,Finland,9816000000000000.0,4836610063268333.0,-4979389936731667.0,-0.5072728134404714
FRA,France,4.84e+17,2.0354453576118714e+17,-2.8045546423881286e+17,-0.5794534385099439
PYF,French Polynesia,89257509170000.0,442157584852912.8,352900075682912.8,3.9537298202079416
DJI,Djibouti,3033821823000000.0,251106541266898.56,-2782715281733101.5,-0.9172309529309828
GEO,Georgia,1.3452866693e+16,6496122912091389.0,-6956743780908611.0,-0.5171198035083816
GAB,Gabon,3075742459000000.0,327753109351678.0,-2747989349648322.0,-0.8934393520521745
GMB,Gambia,4248795026000000.0,191559393764793.5,-4057235632235206.5,-0.9549144186545672
DEU,Germany,7.68e+17,4.8116050806812864e+17,-2.8683949193187136e+17,-0.37348892178629084
BIH,Bosnia and Herzegovina,2.8571600249e+16,6582339770687487.0,-2.198926047831251e+16,-0.7696194923167502
GHA,Ghana,3.5183181318e+16,2478759918342032.0,-3.270442139965797e+16,-0.9295470214606808
KIR,Kiribati,9318015597000.0,191173528501054.1,181855512904054.1,19.516549528271206
GRC,Greece,1.17e+17,3.309700064987801e+16,-8.390299935012198e+16,-0.7171196525651452
GRD,Grenada,232074814500000.0,36748222026522.97,-195326592473477.03,-0.841653554239842
GTM,Guatemala,1.14e+17,4.169359696225092e+16,-7.230640303774909e+16,-0.6342666933135885
GIN,Guinea,6.1079313021e+16,4276673909375317.0,-5.680263911162468e+16,-0.9299816304760183
GUY,Guyana,7720953714000000.0,2393829120467820.5,-5327124593532180.0,-0.6899568098527498
HTI,Haiti,2.5451752066e+16,9247189697211050.0,-1.620456236878895e+16,-0.6366776765217665
HND,Honduras,7.4109549627e+16,1.8012997170053726e+16,-5.609655245694627e+16,-0.756940944038727
HKG,"China, Hong Kong SAR",3417398102000000.0,5.603728091933257e+16,5.261988281733257e+16,15.397645005578156
HUN,Hungary,1.46e+17,8.166333180999963e+16,-6.433666819000037e+16,-0.44066211089041346
HRV,Croatia,2.1137e+16,1.0732691642983296e+16,-1.0404308357016704e+16,-0.4922320271096515
ISL,Iceland,572000000000000.0,126657145971177.67,-445342854028822.3,-0.7785714231273118
IND,India,2.09e+18,8.709471017080742e+17,-1.2190528982919258e+18,-0.5832788987042707
IDN,Indonesia,7.03e+17,4.526846601810985e+17,-2.503153398189015e+17,-0.3560673397139424
IRN,Iran (Islamic Republic of),1.81e+18,2.8316399643855274e+17,-1.5268360035614472e+18,-0.8435558030726228
IRQ,Iraq,6.0449283608e+16,6327414265634783.0,-5.412186934236522e+16,-0.895326894084194
IRL,Ireland,9.8304e+16,3.519921371670221e+16,-6.310478628329779e+16,-0.6419350818206563
ISR,Israel,8.7207180342e+16,5.499081535483119e+16,-3.221636498716881e+16,-0.36942330735641304
ITA,Italy,1.06e+18,4.102841336123541e+17,-6.49715866387646e+17,-0.6129394965921188
CIV,Côte d'Ivoire,2.6507163765e+16,2304108804125824.0,-2.4203054960874176e+16,-0.9130759961890693
KAZ,Kazakhstan,1.69e+17,8.762514498129258e+16,-8.137485501870742e+16,-0.4815080178621741
JAM,Jamaica,2.4609879398e+16,8944153448664560.0,-1.566572594933544e+16,-0.6365624835450663
JPN,Japan,8.42e+17,5.0841178515076224e+17,-3.3358821484923776e+17,-0.3961855283245104
JOR,Jordan,2.5190467747e+16,1.0547223219888572e+16,-1.4643244527111428e+16,-0.5813010172808455
KGZ,Kyrgyzstan,2.6038890957e+16,1.6149274822363864e+16,-9889616134636136.0,-0.3798017415936651
KEN,Kenya,3.68e+17,2.2799289968720364e+16,-3.452007100312796e+17,-0.9380454076936946
KHM,Cambodia,6.2867158572e+16,3.4388746544150772e+16,-2.8478412027849228e+16,-0.4529934655028778
