FishstatJ commodity metadata for trade matrix,,
FAO. 2021. Fishery and Aquaculture Statistics. Global fish trade - By partner country. 2019 (FishstatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2021. www.fao.org/fishery/statistics/software/fishstatj/en,,
FAO_CODE,NAME.EN,EBXID
034.3.1.5.2,"Cods, hakes, haddocks, etc. fillets, fresh or chilled",246
034.2.9,"Miscellaneous fish products, frozen",247
34.3,"Fish fillets and meat, fresh or chilled",248
034.3.1.3,"Freshwater fish fillets, fresh or chilled",249
034.3.1.5,"Marine fish fillets, fresh or chilled",250
034.3.1.5.4.49,"Redfish fillets, fresh or chilled",251
034.3.1.5.3.90,"Miscellaneous coastal fish, fillets, fresh or chilled, nei",252
034.3.1.5.5.11,"Atlantic herring fillets, fresh or chilled",253
034.3.1.5.5.12,"Pacific herring fillets, fresh or chilled",254
034.3.1.5.5.19,"Herring nei, fillets, fresh or chilled",255
034.3.1.5.5.90,"Clupeoids, fillets, fresh or chilled, nei",256
034.3.1.5.6.90,"Tuna loins and fillets, fresh or chilled",257
034.3.1.5.8.70,"Dogfish (Squalidae) and other sharks, fillets, fresh or chilled",258
034.4.1.3.9.30,"Catfish fillets, frozen",260
034.4.1.3.9.90,"Freshwater fish fillets, nei, frozen",261
034.4.1.4.3.90,"Salmonoids fillets, frozen, nei",263
034.4.1.5.1.13,"Greenland halibut fillets, frozen",264
034.4.1.5.1.19,"Halibut nei, fillets, frozen",265
034.4.1.5.1.31,"European plaice fillets, frozen",266
034.4.1.5.1.50,"Flounder fillets, frozen",267
034.4.1.5.1.45,"Common sole fillets, frozen",268
034.4.1.5.1.70,"Turbot fillets, frozen",269
034.4.1.5.1.90,"Flatfish nei, fillets, frozen",270
034.4.1.5.2.11,"Atlantic cod fillets, frozen",271
034.4.1.5.2.12,"Pacific cod fillets, frozen",272
034.4.1.5.2.19,"Cod nei, fillets, frozen",273
034.4.1.5.2.25,"Ling fillets, frozen",274
034.4.1.5.2.30,"Haddock fillets, frozen",275
034.3.1.5.3,"Miscellaneous coastal fish, fillets, fresh or chilled",276
034.3.1.5.5,"Herrings, sardines, anchovies, etc. fillets, fresh or chilled",277
034.3.1.5.6,"Tunas, bonitos, billfishes fillets, fresh or chilled",278
034.3.1.5.8,"Sharks, rays, chimaeras, etc. fillets, fresh or chilled",279
034.3.1.5.9.90,"Miscellaneous marine fish fillets, fresh or chilled, nei",280
034.4.1.3.9,"Miscellaneous freshwater fish fillets, frozen",281
034.4.1.4.3,"Salmons, trouts, smelts, etc. fillets, frozen",282
034.4.1.5.1,"Flounders, halibuts, soles, etc. fillets, frozen",283
034.4.1.5.2,"Cods, hakes, haddocks, etc. fillets, frozen",284
34.4,"Fish fillets and meat, frozen",285
034.4.1,"Fish fillets, frozen (excluding blocks and sticks)",286
034.4.1.3,"Freshwater fish fillets, frozen",287
