country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
9,Argentina,imported,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.0385591040591e-06,44146750.0,4.5849009127122277e-08
9,Argentina,imported,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,imported,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,2.078605068249e-07,44146750.0,9.17636582967582e-09
9,Argentina,imported,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,imported,baseline,plant,Grains,2516,Oats,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,2.119760019236746e-08,44146750.0,9.35805156292398e-10
9,Argentina,imported,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0001488186440081975,44146750.0,6.5698594723688955e-06
9,Argentina,imported,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0001755625416054519,44146750.0,7.750515633620485e-06
9,Argentina,imported,baseline,plant,Nuts and seeds,2556,Groundnuts (Shelled Eq),mg_abx_total,Latin America and the Caribbean,Upper middle income,no,9.662024895319853e-10,44146750.0,4.265469975474618e-11
9,Argentina,imported,baseline,plant,Nuts and seeds,2557,Sunflower seed,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,8.95838995703669e-11,44146750.0,3.954838018358095e-12
9,Argentina,imported,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.231662478158813e-08,44146750.0,5.43738955076576e-10
9,Argentina,imported,baseline,plant,Pulses and soy,2547,Peas,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,7.426754294074029e-09,44146750.0,3.2786706513191264e-10
9,Argentina,imported,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,8.529989462420123e-08,44146750.0,3.7657131230009555e-09
9,Argentina,imported,baseline,plant,Pulses and soy,2555,Soyabeans,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,imported,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.359556038929e-07,44146750.0,6.001998056162215e-09
9,Argentina,imported,baseline,plant,Starchy roots,2533,Sweet potatoes,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,6.014801330997169e-09,44146750.0,2.6553393065919925e-10
9,Argentina,imported,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,9.081102519633e-07,44146750.0,4.009011626586434e-08
