country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
2,Afghanistan,domestic,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,South Asia,Low income,no,0.001800037748086978,36723250.0,6.610323623243512e-05
2,Afghanistan,domestic,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,South Asia,Low income,no,0.011902454977361025,36723250.0,0.00043709682974737323
2,Afghanistan,domestic,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,South Asia,Low income,no,0.052454909461460676,36723250.0,0.0019263147538805857
2,Afghanistan,domestic,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,South Asia,Low income,no,6.3469591990346e-06,36723250.0,2.3308096940595056e-07
2,Afghanistan,domestic,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,domestic,baseline,plant,Grains,2513,Barley and products,mg_abx_total,South Asia,Low income,no,4.2167297317584004e-06,36723250.0,1.5485202012179763e-07
2,Afghanistan,domestic,baseline,plant,Grains,2514,Maize and products,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,domestic,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,South Asia,Low income,no,0.007126220229433125,36723250.0,0.00026169796704053
2,Afghanistan,domestic,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,South Asia,Low income,no,0.0021938984345690683,36723250.0,8.056708068728852e-05
2,Afghanistan,domestic,baseline,plant,Nuts and seeds,2561,Sesame seed,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,domestic,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,South Asia,Low income,no,9.534156838115e-07,36723250.0,3.501252251053386e-08
2,Afghanistan,domestic,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,South Asia,Low income,no,1.50824308504952e-05,36723250.0,5.538758787304501e-07
2,Afghanistan,domestic,baseline,plant,Sugars,2536,Sugar cane,mg_abx_total,South Asia,Low income,no,1.430749996683e-07,36723250.0,5.254178981571577e-09
2,Afghanistan,domestic,baseline,plant,Vegetables,2563,Olives (including preserved),mg_abx_total,South Asia,Low income,no,0.00022598310946141389,36723250.0,8.29883422452887e-06
2,Afghanistan,domestic,baseline,plant,Vegetables,2602,Onions,mg_abx_total,South Asia,Low income,no,4.3315993055529995e-06,36723250.0,1.5907040419764917e-07
2,Afghanistan,domestic,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,South Asia,Low income,no,5.30348751905193e-05,36723250.0,1.9476129803402394e-06
2,Afghanistan,domestic,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,South Asia,Low income,no,0.275057819300406,36723250.0,0.010101017062623636
